frame,align_margin,r_dither,r_tone,tone_a,tone_b,dither_a,dither_b,offset_a,offset_b,skew_ps,skew_ps_corrected,gain_ratio_corrected
0,5.692584116394018,0.9962891578691409,0.9962259233759125,561.033136834869,558.915754787802,17.783443297867933,17.71745174724646,-5.7015432888696305,-7.9205617176982415,-11.39512990302471,-11.395129903024754,0.9734818193225284
1,6.70839803520023,1.0055684153270419,1.0032642895523587,550.5632400927502,552.3604379252978,16.741910594133103,16.835136505689437,-3.917869455646596,-6.234821509136428,-10.757601979951149,-10.757601979951504,0.9825486533442893
2,7.868819429895499,1.011658418608691,0.9980139453597593,558.9335828004479,557.8235101647407,17.248031528777886,17.44911630051628,-4.982593622311925,-9.254637385848536,-8.906305864281283,-8.906305864280927,0.9884992425155894
3,6.273701117745652,1.0282104388146902,1.0028389450589292,551.1489095966191,552.7135910702526,17.226848302612964,17.712825252623777,-5.115363849264579,-8.177118221395515,-10.027744003909875,-10.0277440039097,1.0046723491045053
4,6.807815755857883,0.9724000178514541,1.0018704224084973,553.7079540410682,554.7436218060699,17.063741125219167,16.59278217477571,-3.8212165583173667,-8.204631760308985,-8.210426913012137,-8.210426913012137,0.9501395563833153
5,5.737381204592137,1.0234094635256341,1.0030537722508888,550.2553307979164,551.9356852580107,15.810877256502353,16.181001410946724,-8.172704769055855,-12.719325951763517,-11.136564628691962,-11.136564628691254,0.9999812791254767
6,6.40476008848433,1.0234202823315561,0.995506451779297,561.6327183763822,559.1089946740334,17.383818128599366,17.790952057171587,-12.329048564382115,-13.695012904430186,-12.045078874475639,-12.045078874475639,0.9999918502641749
7,6.281717737671126,0.9870987953918396,1.0025663767792137,551.4466277232273,552.8618475435918,16.93033094067154,16.711909277122068,-1.581253630069847,-5.834604760345085,-9.908162293664645,-9.908162293664468,0.9645018452718508
8,6.76243038325531,1.0397406445182165,0.998488509124955,558.448409552883,557.6043198776605,15.919910156394364,16.552577646681577,-2.4806749260970706,-5.813492547496644,-8.74228687030421,-8.742286870303943,1.015938602015898
9,6.1922845461509795,0.9733612702921217,1.002912810849885,551.6464020917516,553.2532437170645,17.999547845898988,17.520062755968063,-7.925233128432414,-10.460677079470155,-9.191923387559962,-9.19192338756014,0.9510788035560644
10,5.9735787959338555,0.9962522289919317,1.0030524647209431,550.6305458224489,552.3113261378455,16.36467122867381,16.303340188286416,-6.099384222856197,-8.32958323086692,-10.60267253360036,-10.60267253360107,0.9734457358318189
11,6.744387249851013,1.03999448955401,0.9981589089480677,559.3231418241646,558.2933769926135,18.681683627231937,19.428848027912586,-6.305548435055412,-9.66328492805657,-9.280590921296987,-9.280590921296632,1.0161866359579708
12,5.856411776968675,0.9959978642673724,1.0037674019313172,550.7005937059774,552.7753041862828,17.71142152628648,17.640538013320498,-0.7056629048090397,-3.1142167258953926,-10.125028116432878,-166.76675862410104,0.973197194097846
13,5.956014920951343,1.0146085638246871,0.9972401246533046,559.9585304383377,558.4131146950091,17.152570372843567,17.40314479189269,-9.392536489077806,-14.518201140025166,-9.933728197500095,-9.933728197500804,0.9913818521570276
14,8.667378513156242,1.0348808923575767,1.003109475459341,550.6383076009104,552.3505039053684,20.564820432246133,21.282139720096204,-11.460323703858002,-15.91271246317514,-9.951239277022454,-9.951239277023163,1.0111901007023687
15,5.875068643925701,1.0297120904775172,0.9956688093642886,561.5196457188281,559.0875970875227,17.515223749352774,18.035637662127503,-3.3842763717929865,-4.68175786797057,-11.928483547951046,nan,1.0061396245246705
16,6.766394930841377,0.9953703459890069,0.9967099048806145,560.7375352226937,558.8926553948013,17.54977213356194,17.46852276061178,-16.636729379971975,-18.65842122185969,-10.854690125067583,-10.85469012506776,0.9725840411487687
17,6.972902723996271,0.9997542465240951,1.0005785066636657,556.2767436036961,556.5985534067131,20.051597605830228,20.046669856021147,-4.8523284235163375,-8.116204477088242,-7.894021439217624,-7.894021439217801,0.9768675841693051
18,6.768722428225636,0.9948956942613626,1.0031925047260022,550.0860468728132,551.8421991771626,17.39358815697935,17.304805965134186,-7.721282127453092,-11.732651106571193,-11.15677825919723,-11.15677825919723,0.9721202552852745
19,6.157347182705862,1.0087565708328277,1.0024832103502723,551.8921548406774,553.2626191518119,16.114721856591597,16.25583155998016,-6.983208491107195,-10.80995600012482,-9.478628933399778,-9.478628933399778,0.9856638246753647
