frame,align_margin,r_dither,r_tone,tone_a,tone_b,dither_a,dither_b,offset_a,offset_b,skew_ps,skew_ps_corrected,gain_ratio_corrected
20,6.57251759050688,1.0222774964795718,0.9996518581374069,557.3671138131882,557.1730709880371,18.02001983137658,18.421460759731886,-5.275757006892191,-10.232778362939301,-7.954580707961395,-7.95458070796134,0.9988752253952811
21,6.313822626151529,1.0354844605409717,1.0029870353305474,550.3806345194365,552.0246409199952,16.92768407790346,17.52835381561586,-17.16613745174798,-20.761865700655875,-11.331325227403113,-11.331325227403468,1.011779851828953
22,6.968883654002499,0.9974958807733989,1.0020486145895073,554.520605873813,555.6566048771886,17.729317807905606,17.684921482308308,0.23812204940621035,-4.8066048548445135,-7.6971851523681405,-7.697185152368495,0.9746609175782667
23,6.7109823092235406,0.9739561433436973,1.0000463930596202,556.9224732271002,556.9483105646044,19.201612229793206,18.701528193310562,-9.28084792744869,-14.170953497180456,-7.564075988794025,-7.564075988794025,0.9516600586022923
24,7.088064242139136,1.038134255157511,1.0030137007218975,551.8381444687955,553.5012194831517,17.737395923136994,18.413798305099697,-9.348122540064402,-14.838833522043023,-9.39786331085058,-9.39786331085058,1.014368986583422
25,5.811938607221575,1.025269244560992,1.0025536018848629,551.5861319924057,552.9946633787257,16.00991400797979,16.414472440447884,-4.5463451456638175,-9.269363062101007,-9.784654572285415,-9.784654572285415,1.001798485517357
26,6.413022279902441,1.0345454555911238,1.0016469339850405,554.9551950488603,555.869169619761,15.540216725106854,16.077060591860473,-9.760100066941234,-14.236793558339485,-7.462503767851332,-7.462503767851244,1.0108623428510508
27,5.384466845805973,0.9883581911708628,0.9955270935120041,561.7106625850141,559.1981833179611,16.693895309508864,16.49954817170193,-8.296943919757911,-11.988731739166536,-12.667389944729084,-12.667389944729331,0.9657324105997245
28,7.161087446528513,1.0372186961941796,1.0021988421740773,551.6318219960224,552.8447733107903,17.39738160119356,18.044889461582592,-1.492515645287027,-5.9823664561458765,-10.241960729310048,-10.241960729310225,1.0134743868597564
29,6.947979109143831,0.9984234975225038,1.0029479422066776,551.0422511260879,552.6666918358451,17.450352111281116,17.4228415879445,-9.685201753923831,-13.332960132818886,-10.157321573666483,-10.157321573666662,0.975567299057399
30,6.09501991789374,1.0225421508388122,0.9966494205278409,560.2188769867467,558.3418191175989,16.92899551727225,17.310611487772174,-2.338508442908128,-6.90744800372876,-10.756411686337618,-10.756411686337618,0.9991338212106524
31,6.544130405109574,0.9850083893158417,1.0009431808942097,555.2778375876826,555.8015650350734,17.776879900112306,17.510375837470782,-1.0494139731664074,-6.237556529643214,-6.939056319414374,-6.939056319414374,0.9624592933742282
32,7.619442277100518,1.0105804362131843,1.0031482598990569,550.6287282677304,552.3622506122043,19.607915467210756,19.815375766085086,-9.913403547810839,-14.659561374843474,-10.642658304482962,-10.642658304482962,0.9874459376037703
33,6.957686810805198,1.0437553703009232,0.9985115381170973,558.6641756112324,557.8326252804918,15.955202066922812,16.653327841587075,4.273712032763928,-0.5462538374497757,-8.44428119644329,-8.444281196443733,1.0198614215388861
34,6.928689943967885,0.995961637610038,0.9973280837753296,560.3419575203152,558.8447707526531,18.76868640813273,18.692891650833136,-5.850363319177904,-10.583812300321243,-11.017475267191049,-11.017475267190873,0.973161796751592
35,6.573721643382583,1.026992980024955,1.0030971488101572,551.8745450100429,553.5837826004768,18.432410002798637,18.929955677815965,-5.4401911955685724,-9.178049233120703,-8.747203317543924,-8.747203317543836,1.003482760732274
36,6.613321425584644,1.0647753651385807,1.001451061697528,554.7807381279652,555.585759207589,17.138680608306835,18.248844902703425,-5.371468589891717,-10.725345099742697,-7.849463006366132,-7.849463006365777,1.0404002205964586
37,7.383211372796107,0.9995546609712448,0.996508682565573,560.6060053957739,558.6487518752912,19.940612244378652,19.931731911488956,-12.693203533900945,-17.699797600975913,-10.71770273484084,-10.717702734841106,0.976672567586454
38,5.284591305752903,0.981643869925602,1.003673195851302,550.2720439500735,552.2933009389984,16.536939666802642,16.233385451246342,-6.470219143004556,-10.86875469734669,-10.680208612220817,-10.680208612220106,0.9591717955315723
39,6.342729344342033,1.0108113123384912,1.0014009919380402,554.4666262396383,555.2434295129125,16.754424505211485,16.935561821588998,-5.313640574516063,-9.763125397016442,-7.987748755057316,-7.987748755057494,0.9876715284462745
