stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,correlation,selected_adc_mean_codes,channel_A_mean_codes,channel_B_mean_codes,channel_A_rms_codes,channel_B_rms_codes,stage5_raw_metrics_available,raw_A_sndr_db,raw_A_sfdr_db,raw_A_enob,raw_A_thd_db,raw_A_signal_hz,raw_A_worst_spur_hz,raw_B_sndr_db,raw_B_sfdr_db,raw_B_enob,raw_B_thd_db,raw_B_signal_hz,raw_B_worst_spur_hz,raw_parallel_avg_sndr_db,raw_parallel_avg_sfdr_db,raw_parallel_avg_enob,raw_parallel_avg_thd_db,raw_parallel_avg_signal_hz,raw_parallel_avg_worst_spur_hz,raw_AB_matching_valid,raw_AB_correlation,raw_AB_rmse_codes,raw_AB_residual_dbc,raw_offset_mismatch_codes,raw_gain_ratio_B_over_A,raw_gain_mismatch,raw_skew_mismatch_samples,raw_skew_mismatch_ps
baseline,baseline,0,1,1,11,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.999250,5.946250,-0.688716,5.942556,380.697277,388.947227,1,36.855141,34.791943,5.829758,-52.165771,199875000.000000,19500000.000000,36.856304,34.312595,5.829951,-51.091702,199875000.000000,19500000.000000,37.354504,34.539825,5.912709,-54.885883,199875000.000000,19500000.000000,1,0.991721,50.462570,-17.645790,-5.253839,1.021553,0.021553,-0.136385,-104.911859
baseline,baseline,0,1,2,12,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998995,6.807500,-0.439652,6.795469,374.015976,380.061820,1,37.014671,34.984711,5.856258,-51.729698,199875000.000000,22750000.000000,37.926273,34.473255,6.007687,-52.974110,199875000.000000,19500000.000000,37.965378,34.980415,6.014183,-54.695744,199875000.000000,22750000.000000,1,0.989357,55.691036,-16.611588,-6.355818,1.016003,0.016003,-0.136385,-104.911859
baseline,baseline,0,1,3,13,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998877,12.775000,-7.790535,12.777397,366.743305,372.841082,1,36.380386,34.034698,5.750895,-52.961330,199875000.000000,19500000.000000,36.740314,34.175610,5.810684,-52.579548,199875000.000000,19500000.000000,36.886818,34.100315,5.835020,-55.840439,199875000.000000,19500000.000000,1,0.989437,54.283150,-16.662592,-4.986862,1.016259,0.016259,-0.136385,-104.911859
baseline,baseline,0,1,4,14,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.999014,11.418750,-6.911025,11.415316,378.475833,389.667209,1,37.834129,35.666054,5.992381,-50.606705,199875000.000000,22750000.000000,37.764370,35.106495,5.980793,-51.195847,199875000.000000,22750000.000000,38.403324,35.382267,6.086931,-53.468834,199875000.000000,22750000.000000,1,0.996576,33.947159,-21.070473,-4.504292,1.029299,0.029299,-0.136385,-104.911859
baseline,baseline,0,1,5,15,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.999201,3.520000,2.783451,3.524161,382.559363,389.174963,1,37.155533,35.083431,5.879657,-51.214779,199875000.000000,24375000.000000,37.885963,35.308376,6.000991,-52.105816,199875000.000000,24375000.000000,38.084866,35.200428,6.034031,-53.482788,199875000.000000,24375000.000000,1,0.989682,56.173882,-16.738092,-6.307612,1.017278,0.017278,-0.136385,-104.911859
baseline,baseline,0,1,6,16,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998962,15.738750,-9.485261,15.742678,373.043958,383.710836,1,37.511486,34.466461,5.938786,-51.056206,199875000.000000,24375000.000000,37.875256,35.180779,5.999212,-52.200920,199875000.000000,24375000.000000,38.250095,34.838341,6.061478,-54.686466,199875000.000000,24375000.000000,1,0.995423,38.176254,-19.918375,-6.257417,1.028060,0.028060,-0.136385,-104.911859
baseline,baseline,0,1,7,17,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.999167,10.232500,-4.002285,10.226412,380.455356,388.791553,1,38.503429,35.532433,6.103560,-52.102203,199875000.000000,24375000.000000,37.912613,35.511486,6.005418,-50.443504,199875000.000000,24375000.000000,38.855938,35.515594,6.162116,-54.459980,199875000.000000,24375000.000000,1,0.992172,49.207138,-17.858892,-6.224127,1.021614,0.021614,-0.136385,-104.911859
baseline,baseline,0,1,8,18,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.999095,11.462500,-7.429925,11.469905,379.061488,390.452350,1,37.089745,34.824158,5.868729,-50.711678,199875000.000000,24375000.000000,37.631268,34.913216,5.958683,-52.825127,199875000.000000,24375000.000000,37.929379,34.890076,6.008203,-54.290787,199875000.000000,24375000.000000,1,0.997184,31.253902,-21.803856,-4.039980,1.029804,0.029804,-0.136385,-104.911859
baseline,baseline,0,1,9,19,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.999072,9.393750,-2.743613,9.398135,377.970551,388.580791,1,37.617840,34.864567,5.956452,-51.811958,199875000.000000,22750000.000000,37.426132,34.859009,5.924607,-50.620766,199875000.000000,22750000.000000,38.040745,34.862473,6.026702,-53.476204,199875000.000000,22750000.000000,1,0.995365,38.931648,-19.863585,-6.654523,1.027798,0.027798,-0.136385,-104.911859
baseline,baseline,0,1,10,20,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998903,9.707500,-4.423908,9.700460,361.057087,367.198057,1,37.167381,34.124039,5.881625,-51.075691,199875000.000000,19500000.000000,37.274807,34.258522,5.899470,-53.496002,199875000.000000,19500000.000000,37.650124,34.176666,5.961815,-55.249405,199875000.000000,19500000.000000,1,0.989488,53.390911,-16.674171,-5.276553,1.016730,0.016730,-0.136385,-104.911859
