stage,iteration,accepted_frames,rejected_frames,batch_gain,batch_gain_error,gain_correction_before,gain_correction_after,gain_correction_delta,tolerance,pass_count,required_passes,verification_correlation,dither_gain,dither_gain_status,dither_event_count,dither_warning_reason,status,sndr_db,enob_bits
gain,1,30,0,0.983408,-0.016592,1.000000,1.002531,0.002531,0.010000,0,2,0.998992,0.398916,WARNING,6,NONE,RUNNING,37.118923,5.873576,
gain,2,30,0,0.982787,-0.017213,1.002531,1.005165,0.002634,0.010000,0,2,0.998996,0.402076,WARNING,6,NONE,RUNNING,37.058731,5.863577,
gain,3,30,0,0.982686,-0.017314,1.005165,1.007821,0.002657,0.010000,0,2,0.999018,0.402683,WARNING,6,NONE,RUNNING,37.154411,5.879471,
gain,4,30,0,0.991514,-0.008486,1.007821,1.009115,0.001294,0.010000,0,2,0.999025,0.388773,WARNING,5,NONE,RUNNING,37.355740,5.912915,
gain,5,30,0,1.002023,0.002023,1.009115,1.008809,-0.000306,0.010000,0,2,0.999073,0.402862,WARNING,5,NONE,RUNNING,37.274544,5.899427,
gain,6,30,0,1.000047,0.000047,1.008809,1.008809,0.000000,0.010000,1,2,0.999045,0.390798,WARNING,6,FIT_QUALITY,PASS,37.147423,5.878310,
gain,7,30,0,0.992281,-0.007719,1.008809,1.008809,0.000000,0.010000,2,2,0.999000,0.409054,WARNING,5,FIT_QUALITY,PASS,37.246365,5.894745,
