state,amplitude_lsb,pct_dac_fs,json,frames,aligned,rep_pp_a,rep_pp_b,rep_pp_a_frame,mag_a,mag_b,peak_a,fwhm_a,slope_a,gain_mag,gain_mag_sd,gain_fold,gain_fold_sd,dc_codes,dc_sd,dt_phase,dt_phase_sd,dt_fold,dt_fold_sd,snr_dither,dbc_ab,margin
off,30000,91.56,waveforms\pulse_ladder\w06adc_e04_t04_amp30000.json,300,300,700.7268452380952,692.0500595238094,700.7268452380953,700.7268452380953,692.0500595238095,533.2069642857142,3.687426264160569,401.995119047619,0.9876229935098287,0.002860856141212237,0.9876229935098286,0.002860856141212242,-3.1714281045751638,0.8635879436379453,-0.2358460240566055,1.8889746652861512,2.1224073475989544,1.4322922019420476,6.758777928756658,-39.736668612150496,16.634036546976375
on,30000,91.56,waveforms\pulse_ladder\w06adc_e04_t04_amp30000.json,300,300,701.024523809524,645.8676190476191,701.0245238095239,701.0245238095239,645.8676190476191,533.3683333333336,3.6859752305723577,400.7048214285714,0.9213237806768682,0.0027224163134235394,0.9213237806768682,0.0027224163134235376,-6.563712418300653,0.7950779308058409,-0.5207859988204022,1.7493290762354397,17.075674185533703,1.5769930758006347,6.715534022022379,-22.566233478140038,16.60019498801732
