stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,delay_register_active,offset_correction_active_codes,gain_correction_active,active_polarity,primary_valid,primary_rejection_reason,raw_phase_difference_rad,polarity_hypothesis,applied_phase_adjustment_rad,corrected_phase_difference_rad,measured_skew_samples,measured_skew_ps,tone_A_frequency_hz,tone_B_frequency_hz,tone_A_amplitude,tone_B_amplitude,tone_A_correlation,tone_B_correlation,tone_A_rmse,tone_B_rmse,dither_A_valid,dither_B_valid,dither_skew_valid,dither_skew_samples,dither_skew_ps,tone_dither_disagreement_samples,tone_dither_disagreement_ps,tone_A_sndr_db,tone_A_enob_bits,tone_B_sndr_db,tone_B_enob_bits,dither_reason,dither_rising_skew_ps,dither_falling_skew_ps,dither_edge_disagreement_ps
skew,actuator_characterization_baseline,0,2,3,573,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.058724,-1,-3.141593,-0.082868,-0.057271,-44.054774,299374997.703021,299374997.703021,556.818474,578.071784,0.999937,0.999946,4.418414,4.237769,1,1,0,nan,nan,nan,nan,38.998644,6.185821,39.686590,6.300098,edge estimates disagree,82.528187,-61.583665,144.111852,
skew,actuator_characterization_baseline,0,2,4,574,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.060095,-1,-3.141593,-0.081497,-0.056324,-43.325913,299374997.703021,299374997.703021,561.152325,575.974274,0.999942,0.999943,4.274809,4.344366,1,1,0,nan,nan,nan,nan,39.352982,6.244681,39.439233,6.259009,edge estimates disagree,354.963898,-111.904435,466.868333,
skew,actuator_characterization_baseline,0,2,5,575,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.054775,-1,-3.141593,-0.086818,-0.060001,-46.154605,299374997.703021,299374997.703021,566.270635,573.643794,0.999950,0.999957,3.999456,3.748506,1,1,0,nan,nan,nan,nan,40.010161,6.353847,40.685381,6.466010,edge estimates disagree,1139.142594,-750.003386,1889.145980,
skew,actuator_characterization_baseline,0,2,6,576,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.059924,-1,-3.141593,-0.081669,-0.056442,-43.417029,299374997.703021,299374997.703021,560.297258,576.561035,0.999961,0.999968,3.516403,3.273327,1,1,0,nan,nan,nan,nan,41.036096,6.524268,41.906819,6.668907,edge estimates disagree,370.198783,-604.388504,974.587288,
skew,actuator_characterization_baseline,0,2,7,577,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.043129,-1,-3.141593,-0.098464,-0.068050,-52.345815,299374997.703021,299374997.703021,570.440008,570.591611,0.999925,0.999918,4.942630,5.152078,1,1,0,nan,nan,nan,nan,38.234737,6.058926,37.876560,5.999429,edge estimates disagree,117.513255,-152.394072,269.907327,
skew,actuator_characterization_baseline,0,2,8,578,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.039982,-1,-3.141593,-0.101611,-0.070224,-54.018731,299374997.703021,299374997.703021,571.428192,570.162680,0.999969,0.999967,3.191212,3.259455,1,1,0,nan,nan,nan,nan,42.049819,6.692661,41.846776,6.658933,edge estimates disagree,371.009805,21.166883,349.842922,
skew,actuator_characterization_baseline,0,2,9,579,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.057879,-1,-3.141593,-0.083714,-0.057856,-44.504300,299374997.703021,299374997.703021,556.810698,577.806573,0.999943,0.999940,4.192419,4.468880,1,1,0,nan,nan,nan,nan,39.454559,6.261555,39.221376,6.222820,edge estimates disagree,344.518499,-87.862921,432.381420,
skew,actuator_characterization_baseline,0,2,10,580,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.037758,-1,-3.141593,-0.103835,-0.071762,-55.201172,299374997.703021,299374997.703021,572.155208,569.734438,0.999967,0.999967,3.304678,3.267190,1,1,0,nan,nan,nan,nan,41.757395,6.644086,41.819661,6.654429,edge estimates disagree,721.567439,-340.308839,1061.876278,
skew,actuator_characterization_after,0,3,1,581,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,-9.716521,1.004061,1.000000,1,none,3.056475,-1,-3.141593,-0.085118,-0.058826,-45.250830,299374997.703021,299374997.703021,572.272389,572.405161,0.999960,0.999964,3.629260,3.441336,1,1,0,nan,nan,nan,nan,40.945395,6.509202,41.409229,6.586251,edge estimates disagree,-702.780892,1052.303185,1755.084077,
skew,actuator_characterization_after,0,3,2,582,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,-9.716521,1.004061,1.000000,1,none,3.068302,-1,-3.141593,-0.073291,-0.050652,-38.963073,299374997.703021,299374997.703021,567.457758,575.543956,0.999929,0.999934,4.788962,4.677272,1,1,0,nan,nan,nan,nan,38.463543,6.096934,38.791418,6.151398,edge estimates disagree,218.221306,-207.585369,425.806675,
