stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_offset_residual_codes,fit_offset_codes,correlation,rmse_codes,filtered_residual_at_iteration_start,tolerance_codes,sndr_db,enob_bits
offset,calibration,1,1,30,70,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,-4.868244,-4.869713,0.999728,9.347513,nan,1.000000,41.803570,6.651756,
offset,calibration,2,2,1,71,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,1.821756,1.821299,0.999736,9.269055,-4.589828,1.000000,43.495735,6.932847,
offset,calibration,2,2,2,72,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-7.429494,-7.439132,0.998590,20.222570,-4.589828,1.000000,41.767139,6.645705,
offset,calibration,2,2,3,73,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,2.595506,2.598344,0.999844,7.257307,-4.589828,1.000000,42.470928,6.762613,
offset,calibration,2,2,4,74,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,1.608006,1.609061,0.999857,6.888979,-4.589828,1.000000,42.959118,6.843708,
offset,calibration,2,2,5,75,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-7.820744,-7.829025,0.998951,17.594576,-4.589828,1.000000,43.640755,6.956936,
offset,calibration,2,2,6,76,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-11.645744,-11.643854,0.999908,5.548275,-4.589828,1.000000,42.521763,6.771057,
offset,calibration,2,2,7,77,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-8.338244,-8.344650,0.998848,18.660524,-4.589828,1.000000,42.476437,6.763528,
offset,calibration,2,2,8,78,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,7.909256,7.910866,0.999868,6.631545,-4.589828,1.000000,41.953072,6.676590,
offset,calibration,2,2,9,79,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,6.880506,6.883176,0.999918,5.267784,-4.589828,1.000000,42.595032,6.783228,
offset,calibration,2,2,10,80,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-14.505744,-14.514185,0.998258,22.657503,-4.589828,1.000000,43.014648,6.852932,
offset,calibration,2,2,11,81,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,6.305506,6.297398,0.998286,22.522028,-4.589828,1.000000,42.550465,6.775825,
offset,calibration,2,2,12,82,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-11.221994,-11.218954,0.999942,4.433080,-4.589828,1.000000,42.475334,6.763345,
offset,calibration,2,2,13,83,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-0.803244,-0.807352,0.999612,10.975757,-4.589828,1.000000,41.642097,6.624933,
offset,calibration,2,2,14,84,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-1.498244,-1.501986,0.999434,13.288843,-4.589828,1.000000,43.481476,6.930478,
offset,calibration,2,2,15,85,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-5.919494,-5.918898,0.999949,4.112683,-4.589828,1.000000,42.059643,6.694293,
offset,calibration,2,2,16,86,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,5.518006,5.513332,0.999463,12.870969,-4.589828,1.000000,42.088364,6.699064,
offset,calibration,2,2,17,87,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,1.716756,1.717562,0.999912,5.390023,-4.589828,1.000000,42.337166,6.740393,
offset,calibration,2,2,18,88,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-7.921994,-7.927740,0.999382,13.715204,-4.589828,1.000000,42.702717,6.801116,
offset,calibration,2,2,19,89,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,6.609256,6.608774,0.999942,4.352481,-4.589828,1.000000,42.295506,6.733473,
offset,calibration,2,2,20,90,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-11.869494,-11.869291,0.999952,3.961074,-4.589828,1.000000,41.760117,6.644538,
offset,calibration,2,2,21,91,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-11.511994,-11.518829,0.999245,15.055835,-4.589828,1.000000,43.029942,6.855472,
offset,calibration,2,2,22,92,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,3.088006,3.082337,0.999039,17.119776,-4.589828,1.000000,42.079365,6.697569,
offset,calibration,2,2,23,93,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,3.840506,3.832968,0.998727,19.473970,-4.589828,1.000000,43.094532,6.866201,
offset,calibration,2,2,24,94,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,6.054256,6.054047,0.999936,4.549294,-4.589828,1.000000,41.976505,6.680483,
offset,calibration,2,2,25,95,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-8.308244,-8.310738,0.999824,7.476864,-4.589828,1.000000,42.654888,6.793171,
offset,calibration,2,2,26,96,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-7.858244,-7.859251,0.999854,6.853126,-4.589828,1.000000,42.828316,6.821980,
offset,calibration,2,2,27,97,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,0.729256,0.720603,0.998219,22.878292,-4.589828,1.000000,43.317162,6.903183,
offset,calibration,2,2,28,98,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,0.293006,0.291392,0.999898,5.704767,-4.589828,1.000000,41.916508,6.670516,
offset,calibration,2,2,29,99,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-9.535744,-9.533634,0.999923,5.080072,-4.589828,1.000000,42.599838,6.784027,
offset,calibration,2,2,30,100,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,4.501756,4.498087,0.999575,11.521936,-4.589828,1.000000,43.231064,6.888881,
offset,calibration,3,3,1,101,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,0.046756,0.044093,0.999794,8.072287,-3.643461,1.000000,42.809586,6.818868,
offset,calibration,3,3,2,102,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,5.816756,5.816512,0.999912,5.357912,-3.643461,1.000000,42.028599,6.689137,
offset,calibration,3,3,3,103,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,2.503006,2.502172,0.999887,6.039802,-3.643461,1.000000,42.129425,6.705885,
offset,calibration,3,3,4,104,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,-5.129494,-5.130701,0.999838,7.224471,-3.643461,1.000000,42.132950,6.706470,
offset,calibration,3,3,5,105,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,-4.154494,-4.163921,0.998682,19.576658,-3.643461,1.000000,43.076191,6.863155,
offset,calibration,3,3,6,106,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,-9.965744,-9.973797,0.998982,17.355043,-3.643461,1.000000,42.582195,6.781096,
