byte
92
6
140
3
60
0
20
253
204
249
128
252
100
0
212
3
148
250
136
248
80
248
180
249
80
6
124
7
128
7
32
6
24
252
8
255
100
2
152
5
44
3
184
255
180
252
28
250
152
7
232
7
220
6
188
4
84
248
16
248
124
249
4
252
120
1
176
253
164
250
232
248
20
255
72
2
140
5
124
7
76
248
232
248
20
251
96
254
224
7
184
6
128
4
80
1
184
1
152
4
184
6
212
7
128
253
104
250
156
248
40
248
72
7
32
5
84
2
36
255
204
248
16
251
112
254
228
1
232
251
60
249
20
248
132
248
192
4
188
6
228
7
68
7
56
250
224
252
112
0
248
3
44
5
44
2
8
255
232
251
116
6
160
7
136
7
44
6
68
249
244
247
120
248
64
250
32
3
176
255
112
252
28
250
244
252
148
0
16
4
160
6
128
248
60
248
192
249
76
252
208
7
144
7
40
6
64
3
72
255
112
2
108
5
112
7
144
255
72
252
0
250
116
248
200
7
156
6
80
4
96
1
36
248
164
249
116
252
112
255
136
253
128
250
148
248
24
248
156
2
132
5
164
7
232
7
0
249
32
251
120
254
240
1
196
6
92
4
92
1
176
253
196
4
220
6
196
7
24
7
84
250
128
248
24
248
252
248
244
4
232
1
200
254
208
251
44
251
148
254
60
2
40
5
60
249
0
248
148
248
124
250
248
6
224
7
96
7
8
5
4
253
104
0
244
3
152
6
216
1
180
254
192
251
72
249
188
7
120
7
4
6
40
3
16
248
140
248
144
250
48
253
152
255
60
252
196
249
116
248
128
0
60
4
228
6
240
7
72
248
184
249
132
252
192
255
148
7
4
6
80
3
128
255
200
2
112
5
108
7
184
7
20
252
180
249
100
248
92
248
92
6
20
4
48
1
208
253
172
249
140
252
204
255
200
2
148
250
196
248
128
248
116
249
68
5
56
7
116
7
20
6
144
251
208
254
132
2
140
5
168
3
164
0
68
253
4
250
52
7
220
7
68
7
252
4
24
248
192
247
228
248
4
251
204
1
128
254
196
251
100
249
108
254
44
2
44
5
28
7
44
248
216
248
212
250
164
253
164
7
16
7
192
4
140
1
184
0
0
4
176
6
216
7
36
254
80
251
36
249
8
248
88
7
192
5
236
2
56
255
204
248
240
250
220
253
0
1
144
251
24
249
244
247
248
247
112
4
68
7
80
8
232
7
84
249
48
252
220
255
0
3
36
6
108
3
224
255
44
252
104
5
44
7
124
7
12
6
156
249
120
248
148
248
16
250
128
3
128
0
92
253
24
250
252
252
100
0
184
3
20
6
52
248
232
247
16
249
60
251
172
7
12
8
144
6
216
3
96
254
20
2
64
5
60
7
196
0
156
253
124
250
128
248
152
7
224
6
144
4
80
1
36
248
104
249
160
251
176
254
208
253
248
250
4
249
16
248
144
2
156
5
164
7
252
7
148
248
212
250
184
253
204
0
48
7
244
4
136
1
244
253
232
3
148
6
204
7
56
7
24
251
36
249
44
248
212
248
104
5
216
2
96
255
204
251
28
251
32
254
64
1
44
4
72
249
24
248
60
248
188
249
228
6
16
8
128
7
180
5
164
252
68
0
108
3
236
5
232
2
148
255
0
252
60
249
92
7
132
7
40
6
92
3
52
248
120
248
236
249
228
252
48
0
32
253
88
250
76
248
152
0
228
3
80
6
144
7
36
248
88
249
172
251
156
254
216
7
96
6
120
3
76
0
32
2
88
5
72
7
184
7
40
253
128
250
124
248
40
248
196
6
172
4
68
1
172
253
140
249
232
251
236
254
120
2
208
250
220
248
20
248
164
248
196
5
168
7
0
8
0
7
240
250
32
254
60
1
68
4
208
4
136
1
180
253
208
250
144
6
204
7
40
7
60
5
252
248
56
248
228
248
52
251
132
2
76
255
196
251
32
249
100
254
160
1
116
4
212
6
4
248
96
248
244
249
172
252
20
8
80
7
92
5
148
2
72
0
192
3
60
6
92
7
80
255
244
251
68
249
16
248
136
7
8
6
44
3
220
255
140
248
20
250
232
252
148
0
180
252
84
250
116
248
0
248
16
4
148
6
200
7
180
7
108
249
248
251
244
