stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,delay_register_active,offset_correction_active_codes,gain_correction_active,active_polarity,primary_valid,primary_rejection_reason,raw_phase_difference_rad,polarity_hypothesis,applied_phase_adjustment_rad,corrected_phase_difference_rad,measured_skew_samples,measured_skew_ps,tone_A_frequency_hz,tone_B_frequency_hz,tone_A_amplitude,tone_B_amplitude,tone_A_correlation,tone_B_correlation,tone_A_rmse,tone_B_rmse,dither_A_valid,dither_B_valid,dither_skew_valid,dither_skew_samples,dither_skew_ps,tone_dither_disagreement_samples,tone_dither_disagreement_ps
skew,closed_loop_initial_baseline,0,1,1,381,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.223837,1.000000,1.000000,1,none,2.911549,-1,-3.141593,-0.230044,-0.237982,-183.063308,199999934.868468,199999934.868468,547.247721,519.528199,0.999618,0.999593,10.691656,10.479155,1,1,0,nan,nan,nan,nan
skew,closed_loop_initial_baseline,0,1,2,382,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.223837,1.000000,1.000000,1,none,2.960347,-1,-3.141593,-0.181246,-0.187500,-144.230674,199999934.868468,199999934.868468,549.066826,525.239767,0.999656,0.999637,10.182229,10.012475,1,1,0,nan,nan,nan,nan
skew,closed_loop_initial_baseline,0,1,3,383,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.223837,1.000000,1.000000,1,none,2.930208,-1,-3.141593,-0.211384,-0.218679,-168.214490,199999934.868468,199999934.868468,548.836933,521.758170,0.999530,0.999465,11.906443,12.081466,1,1,0,nan,nan,nan,nan
skew,closed_loop_initial_baseline,0,1,4,384,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.223837,1.000000,1.000000,1,none,2.952660,-1,-3.141593,-0.188933,-0.195452,-150.347923,199999934.868468,199999934.868468,549.075549,524.279442,0.999569,0.999547,11.400262,11.164914,1,1,0,nan,nan,nan,nan
skew,closed_loop_initial_baseline,0,1,5,385,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.223837,1.000000,1.000000,1,none,2.949998,-1,-3.141593,-0.191594,-0.198206,-152.466031,199999934.868468,199999934.868468,549.046606,524.027255,0.999635,0.999605,10.494088,10.419196,1,1,0,nan,nan,nan,nan
skew,closed_loop_initial_baseline,0,1,6,386,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.223837,1.000000,1.000000,1,none,2.964972,-1,-3.141593,-0.176621,-0.182716,-140.550533,199999934.868468,199999934.868468,548.957715,525.523176,0.999614,0.999575,10.787307,10.836247,1,1,0,nan,nan,nan,nan
skew,closed_loop_initial_baseline,0,1,7,387,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.223837,1.000000,1.000000,1,none,2.913109,-1,-3.141593,-0.228484,-0.236368,-181.821541,199999934.868468,199999934.868468,547.616307,519.666633,0.999581,0.999542,11.216173,11.117845,1,1,0,nan,nan,nan,nan
skew,closed_loop_initial_baseline,0,1,8,388,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.223837,1.000000,1.000000,1,none,2.964907,-1,-3.141593,-0.176685,-0.182782,-140.601654,199999934.868468,199999934.868468,548.975990,525.703952,0.999613,0.999577,10.803564,10.807481,1,1,0,nan,nan,nan,nan
skew,closed_loop_initial_baseline,0,1,9,389,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.223837,1.000000,1.000000,1,none,2.964809,-1,-3.141593,-0.176784,-0.182884,-140.680333,199999934.868468,199999934.868468,548.986897,525.473508,0.999593,0.999543,11.079325,11.234773,1,1,0,nan,nan,nan,nan
skew,closed_loop_initial_baseline,0,1,10,390,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,5.223837,1.000000,1.000000,1,none,2.919768,-1,-3.141593,-0.221825,-0.229479,-176.522653,199999934.868468,199999934.868468,548.033762,520.428056,0.999612,0.999553,10.802171,11.002777,1,1,1,-0.212074,-163.134139,0.017405,13.388514
skew,actuator_characterization_after,0,2,1,391,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,5.223837,1.000000,1.000000,1,none,2.967660,-1,-3.141593,-0.173933,-0.179935,-138.411273,199999934.868468,199999934.868468,549.104832,525.294622,0.999637,0.999619,10.468016,10.259035,1,1,0,nan,nan,nan,nan
