stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_gain,gain_error,correlation,rmse_codes,dither_gain,dither_valid,dither_reason,sndr_db,enob_bits
gain,calibration,1,1,28,438,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,1.000264,0.000264,0.999831,7.610004,0.497351,1,NONE,42.257504,6.727160,
gain,calibration,1,1,29,439,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.999110,-0.000890,0.999836,8.501013,0.588957,1,NONE,41.768665,6.645958,
gain,calibration,1,1,30,440,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.000000,nan,1.000000,0.972398,-0.027602,0.999263,16.677273,0.474261,1,FIT_QUALITY,42.326279,6.738585,
gain,calibration,2,2,1,441,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,1.003874,0.003874,0.999829,9.279941,0.603238,1,FIT_QUALITY,42.212845,6.719742,
gain,calibration,2,2,2,442,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,1.000263,0.000263,0.999768,8.746942,0.458624,1,FIT_QUALITY,41.416313,6.587428,
gain,calibration,2,2,3,443,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,1.004340,0.004340,0.999864,11.163958,0.516276,1,FIT_QUALITY,41.131256,6.540076,
gain,calibration,2,2,4,444,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,1.003764,0.003764,0.999900,6.968783,0.454270,1,FIT_QUALITY,42.750797,6.809103,
gain,calibration,2,2,5,445,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.957132,-0.042868,0.998672,20.024193,0.389248,1,FIT_QUALITY,42.021969,6.688035,
gain,calibration,2,2,6,446,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.979635,-0.020365,0.999497,13.389973,0.468961,1,FIT_QUALITY,41.586929,6.615769,
gain,calibration,2,2,7,447,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.997319,-0.002681,0.999870,8.687883,0.381504,1,FIT_QUALITY,41.802303,6.651546,
gain,calibration,2,2,8,448,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,1.004743,0.004743,0.999860,9.366219,0.530455,1,FIT_QUALITY,42.549904,6.775732,
gain,calibration,2,2,9,449,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.954056,-0.045944,0.998524,21.214918,0.720747,1,FIT_QUALITY,40.813747,6.487334,
gain,calibration,2,2,10,450,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.985952,-0.014048,0.999687,14.788578,0.509394,1,FIT_QUALITY,41.314987,6.570596,
gain,calibration,2,2,11,451,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.992739,-0.007261,0.999669,13.376324,0.472939,1,FIT_QUALITY,42.289383,6.732456,
