stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_offset_residual_codes,fit_offset_codes,correlation,rmse_codes,filtered_residual_at_iteration_start,tolerance_codes,sndr_db,enob_bits
offset,calibration,1,1,1,41,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,4.194376,4.179365,0.999273,14.540652,nan,1.000000,42.327007,6.738706,
offset,calibration,1,1,2,42,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,4.021875,4.024402,0.999818,7.640970,nan,1.000000,42.811523,6.819190,
offset,calibration,1,1,3,43,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,15.836875,15.836233,0.999821,7.517262,nan,1.000000,42.721767,6.804281,
offset,calibration,1,1,4,44,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,20.980625,20.973738,0.999348,14.094449,nan,1.000000,41.551498,6.609884,
offset,calibration,1,1,5,45,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,12.043125,12.043092,0.999666,10.282899,nan,1.000000,42.055069,6.693533,
offset,calibration,1,1,6,46,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,6.251875,6.255424,0.999886,6.052584,nan,1.000000,41.548424,6.609373,
offset,calibration,1,1,7,47,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,11.365625,11.354483,0.998969,17.512903,nan,1.000000,42.859474,6.827156,
offset,calibration,1,1,8,48,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,19.216875,19.203894,0.999361,13.714462,nan,1.000000,42.519627,6.770702,
offset,calibration,1,1,9,49,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,16.923126,16.918924,0.999861,6.559130,nan,1.000000,43.430634,6.922032,
offset,calibration,1,1,10,50,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,10.370625,10.355687,0.998500,20.906784,nan,1.000000,42.359119,6.744040,
offset,calibration,1,1,11,51,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,14.964375,14.948975,0.998580,20.312731,nan,1.000000,42.129047,6.705822,
offset,calibration,1,1,12,52,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,9.360625,9.352120,0.999461,12.750203,nan,1.000000,42.791756,6.815907,
offset,calibration,1,1,13,53,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,-1.675625,-1.682030,0.999350,14.091396,nan,1.000000,42.157269,6.710510,
offset,calibration,1,1,14,54,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,3.334375,3.309932,0.998401,21.002232,nan,1.000000,42.884190,6.831261,
offset,calibration,1,1,15,55,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,11.739375,11.736093,0.999527,12.121000,nan,1.000000,43.094437,6.866186,
offset,calibration,1,1,16,56,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,-1.380625,-1.382988,0.999878,6.173217,nan,1.000000,41.914909,6.670251,
offset,calibration,1,1,17,57,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,2.536875,2.533676,0.999813,7.618344,nan,1.000000,41.766544,6.645606,
offset,calibration,1,1,18,58,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,6.949375,6.952076,0.999824,7.524522,nan,1.000000,42.741646,6.807583,
offset,calibration,1,1,19,59,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,12.458125,12.445705,0.998856,18.385386,nan,1.000000,42.468369,6.762188,
offset,calibration,1,1,20,60,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,6.758125,6.757807,0.999787,8.204854,nan,1.000000,43.146107,6.874769,
offset,calibration,1,1,21,61,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,19.188126,19.190193,0.999842,7.102836,nan,1.000000,41.608940,6.619426,
offset,calibration,1,1,22,62,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,12.190625,12.186415,0.999724,9.227265,nan,1.000000,42.432430,6.756218,
offset,calibration,1,1,23,63,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,13.176875,13.157814,0.998255,22.289721,nan,1.000000,42.359104,6.744038,
offset,calibration,1,1,24,64,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,3.536875,3.532372,0.999834,7.163736,nan,1.000000,42.619091,6.787225,
offset,calibration,1,1,25,65,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,-0.371875,-0.366708,0.999896,5.824587,nan,1.000000,42.166092,6.711976,
offset,calibration,1,1,26,66,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,8.945625,8.929179,0.999160,15.566199,nan,1.000000,42.513916,6.769754,
offset,calibration,1,1,27,67,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,15.656876,15.650740,0.999485,12.543405,nan,1.000000,43.031166,6.855676,
offset,calibration,1,1,28,68,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,1.839375,1.844606,0.999894,5.869264,nan,1.000000,43.043407,6.857709,
offset,calibration,1,1,29,69,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,-1.000000,7.986876,7.982804,0.999853,6.736679,nan,1.000000,42.584694,6.781511,
