iteration,gain_ratio,offset_mismatch_lsb,skew_mismatch_ps,cal_sndr_db,cal_image_spur_dbc
123,1.02625,-2.306,-11.522,37.08,-37.4
124,1.0457,-1.494,-11.521,37.04,-34.6
125,0.96412,-0.706,-10.503,37.38,-29.8
126,0.97443,0.032,-10.736,37.11,-34.6
127,1.04614,0.846,-10.942,37.01,-37.3
128,0.98611,-0.394,-11.449,38.22,-32.2
129,1.01342,0.589,-17.067,37.89,-29.2
130,0.994,0.363,-9.911,29.92,-31.8
131,0.97915,0.167,-11.619,37.45,-31.0
132,1.00363,-0.499,-9.839,37.18,-34.6
133,0.97993,0.965,-12.033,37.01,-32.6
134,1.05157,-1.08,-12.149,37.17,-35.8
135,0.964,-0.038,-11.306,37.83,-30.3
136,0.98703,0.326,-10.244,37.42,-34.9
137,1.02615,-1.009,-11.048,37.01,-37.2
138,0.97019,1.005,-10.84,37.25,-34.0
139,1.01967,0.648,-11.558,37.98,-35.9
140,1.0178,-0.599,-8.004,37.66,-33.8
141,0.96876,1.42,-8.113,37.11,-32.4
142,0.98865,-0.226,-13.668,37.26,-32.2
143,0.99583,-0.558,-8.973,37.33,-37.8
144,1.00686,-0.802,-8.515,36.82,-39.0
145,1.01561,-0.781,-7.715,36.86,-37.9
146,0.99611,-0.064,-9.501,37.44,-35.4
147,1.00093,3.588,-13.497,37.63,-31.8
148,0.99767,0.738,-11.526,38.19,-33.0
149,0.97634,-1.629,-9.127,37.34,-35.5
150,0.98666,-1.793,-8.61,37.37,-38.6
151,0.98078,0.946,-8.046,37.5,-39.4
152,0.99676,0.116,-10.493,37.4,-36.4
153,1.03329,0.745,-8.742,37.52,-36.2
154,0.9983,0.171,-8.194,37.08,-39.2
155,0.99294,-0.478,-11.196,37.9,-36.8
156,0.98506,0.034,-12.673,38.22,-35.5
157,1.03675,-0.563,-8.574,37.44,-38.7
158,1.04035,-0.464,-10.649,37.25,-35.3
159,0.9595,1.569,-8.167,37.27,-32.3
160,1.02603,1.055,-9.128,37.61,-37.1
161,1.06693,-1.176,-8.923,37.12,-35.1
162,0.97228,1.042,-12.939,37.58,-26.6
163,0.98056,-0.415,-8.133,36.98,-30.4
164,0.96358,1.266,-14.088,37.22,-29.9
165,1.01635,-0.903,-8.624,36.81,-37.2
166,0.98918,-0.832,-7.927,37.79,-35.3
167,1.00393,0.049,-9.193,37.09,-35.0
168,0.99107,-0.438,-8.375,36.98,-37.0
169,1.00406,-0.667,-8.199,37.67,-36.8
170,1.01527,1.099,-9.247,37.18,-35.0
171,0.97224,0.253,-9.45,36.94,-34.8
172,1.00798,-0.987,-13.332,37.33,-34.3
173,1.0059,-0.27,-9.517,37.54,-35.6
174,0.98973,-0.757,-9.305,29.4,-36.8
175,1.00289,1.08,-9.063,37.54,-37.0
176,1.05197,-0.361,-7.645,37.17,-39.2
177,1.02268,0.915,-13.653,37.02,-29.0
178,1.01015,-0.434,-7.775,37.03,-29.6
179,0.96627,-0.878,-10.445,37.12,-27.7
180,0.98853,0.047,-7.769,30.02,-32.1
181,0.99726,-0.124,-7.516,37.14,-33.3
182,1.00184,1.445,-14.444,36.53,-29.9
183,0.97631,1.65,-12.505,37.18,-30.4
184,1.01105,-1.434,-7.789,37.46,-36.3
185,0.96622,-2.312,-7.445,37.02,-34.9
186,1.03538,1.493,-9.046,37.14,-39.0
187,0.97044,0.216,-8.116,37.24,-35.7
188,0.99144,-1.135,-7.433,37.14,-39.6
189,1.00016,0.337,-13.216,38.27,-34.6
190,1.00692,-0.169,-7.944,37.1,-39.4
191,0.98961,0.369,-8.345,37.89,-37.7
192,0.99355,2.48,-7.944,36.74,-40.3
193,1.00722,-0.884,-10.383,37.16,-37.6
194,1.04138,-0.351,-12.313,37.48,-35.8
195,0.9833,-0.304,-13.897,37.34,-31.2
196,1.01264,-1.064,-7.804,37.13,-37.7
197,0.94527,-0.532,-7.198,37.15,-35.8
198,1.0374,0.173,-8.311,37.14,-37.7
199,1.0149,0.578,-11.164,38.21,-34.9
200,0.97948,0.693,-11.137,36.97,-33.1
201,0.97285,1.451,-7.562,36.92,-38.7
202,1.03999,-1.429,-7.955,37.24,-38.6
203,1.0654,0.049,-8.013,37.93,-37.2
204,0.98564,-1.359,-8.218,37.53,-29.6
205,0.97226,0.66,-7.587,29.99,-31.7
206,1.02765,1.059,-14.173,37.61,-30.7
207,0.98624,0.413,-7.478,37.36,-31.0
208,0.98538,0.04,-13.984,37.06,-29.5
209,0.98213,-2.209,-9.269,37.42,-32.9
210,1.00034,2.396,-13.906,37.45,-32.7
211,0.95843,0.34,-8.78,37.06,-37.2
212,1.01879,0.795,-12.309,36.88,-36.2
213,0.98344,-0.313,-12.896,37.45,-35.5
214,1.02251,-0.58,-9.039,37.74,-37.3
215,0.99261,-0.071,-8.669,37.1,-38.7
216,1.01348,0.374,-9.158,37.85,-38.6
217,1.00949,0.434,-7.765,36.94,-38.7
218,1.02457,0.024,-7.344,37.49,-37.9
219,0.94449,-1.044,-7.78,37.3,-34.7
220,0.97559,0.087,-7.823,37.24,-40.5
221,1.02682,-1.015,-8.436,37.18,-35.7
222,1.00019,1.14,-7.629,36.99,-40.9
223,1.02652,-1.599,-8.249,37.37,-39.9
224,0.9896,0.382,-8.042,37.22,-38.2
225,0.9677,-0.175,-8.704,37.27,-39.3
226,1.03406,0.519,-12.873,38.39,-36.0
227,0.99306,-0.686,-8.464,36.95,-38.4
228,0.99148,0.574,-7.938,37.51,-39.8
229,1.01366,-0.238,-7.255,37.46,-40.9
230,1.01264,-0.605,-8.754,37.74,-39.0
231,0.96216,0.795,-11.444,38.17,-35.2
232,1.03544,2.214,-7.97,37.23,-38.8
233,1.04209,0.931,-7.442,29.27,-39.2
234,1.03952,0.761,-8.232,37.15,-33.1
235,0.98243,-1.283,-9.497,37.85,-28.3
236,1.00446,-0.558,-9.171,37.34,-31.0
237,0.96126,-0.303,-8.835,37.35,-30.1
238,1.0262,-1.451,-9.243,37.51,-34.9
239,0.9856,-0.89,-7.438,37.7,-31.7
240,1.06766,-1.394,-7.944,36.41,-33.2
241,0.99061,-0.338,-7.501,36.87,-27.1
242,0.96681,1.379,-7.659,37.68,-28.4
