point,code,frame,phase_ps,diff_route_ps,centroid_ps,source,tone,resid,margin
restore,24,0,-39.59789325515284,-42.24784031363539,-154.32030967233302,phase,549.4408848199799,11.03161636969096,6.444410106655356
restore,24,1,-40.376975900077824,-42.98656430636624,-17.82505087928116,phase,549.6877109140645,10.153439136405796,6.411329948918699
restore,24,2,-41.077263337082655,-46.31237008534509,-537.2081931367954,phase,545.8174997318142,11.047162784423737,6.657472690989093
restore,24,3,-45.70002825012613,-51.78414408703652,145.93720268610065,phase,543.6746345391043,11.051753167170801,7.1747236378186265
restore,24,4,-39.95728127349205,-44.406727193261474,136.82698381202158,phase,547.0239217440353,9.919527077745705,6.016559857127423
restore,24,5,-42.090058558750144,-47.9013059666181,-336.5337357260296,phase,544.715251419246,10.370377783182263,7.435387808122692
restore,24,6,-47.69475417433796,-48.20931806287781,-434.2808646593191,phase,553.7583961698544,10.542413776344448,7.451118443940354
restore,24,7,-41.57683665105706,-47.227429426632625,-28.645358425109727,phase,544.9551056556998,10.503320586988506,6.269837673492796
restore,24,8,-44.30219051945825,-45.29658642230693,29.755558854649426,phase,552.3872519639151,10.263726300594692,6.139086121316254
restore,24,9,-47.740358319872406,-48.16853953539136,223.2509905040982,phase,553.9515517520136,11.312852690140593,6.718961345333995
restore,24,10,-43.992777182411324,-50.0856088433708,-551.0573834827071,phase,544.0157589227848,10.613606491351039,7.318358611144107
restore,24,11,-41.09604778483856,-46.4286270347769,131.4987559295352,phase,545.5787221961075,10.774756085546406,7.145112338623864
restore,24,12,-45.54041329786532,-46.213585039070466,376.12750933423337,phase,553.2139744990378,10.626251518105763,7.818785314604558
restore,24,13,-40.43523041370458,-42.81673423709983,330.0404942848172,phase,550.1189342211273,10.671080736925346,5.916883483957305
restore,24,14,-44.789877881753306,-50.85578855522704,-285.6125592783234,phase,543.8036045819471,10.220684147211617,6.326516202073661
restore,24,15,-44.34335207928113,-50.25804026386091,19.226229798158503,phase,544.2633465219402,10.142653299453915,6.421399278637721
restore,24,16,-43.56526680999065,-44.65766959886823,-458.4058377684482,phase,552.1022911552128,10.584611423110877,8.072709651798421
restore,24,17,-42.570045628198876,-48.374524947732695,-367.8867552658388,phase,544.4648589014506,10.70707024458456,6.57776307010369
restore,24,18,-48.470962830219634,-48.78179583431039,44.163991637410106,phase,554.2127833433292,10.250336496418802,5.493884060439514
restore,24,19,-48.46786071417818,-48.842736199165465,-281.7126613812062,phase,554.4508361185283,10.545111670224676,5.611997655012638
stepped,25,0,-33.90246927303369,-35.77020269627354,-345.152231159411,phase,551.9187587497006,10.505266137685325,8.290105990924092
stepped,25,1,-32.345186645182345,-35.36127286844374,-509.98903453410014,phase,550.0255210278959,10.677583761226687,8.169606524959358
stepped,25,2,-35.75343279206438,-41.51601844427583,-363.38731570833966,phase,545.0025472386881,10.336235715619095,6.875065694006447
stepped,25,3,-32.83525192152814,-37.74924469105535,-9.505855656533742,phase,547.4185278033384,10.505832592674356,6.9402228269419455
stepped,25,4,-33.31147828880644,-35.90582612895812,281.8831236227564,phase,550.6876702199679,11.040460845804613,6.222969346783296
stepped,25,5,-33.20099874029251,-38.27004960451837,1178.3716497227272,observables-disagree,547.0432902760347,10.463911694876085,5.478633074796761
stepped,25,6,-38.0584546939378,-38.76025145127243,-115.59014606508511,phase,554.1063369634959,10.542538505745144,8.512520742745899
stepped,25,7,-36.59786690152646,-37.7879342119168,-130.01866106384944,phase,553.1194990446361,10.55666739837181,6.557299044357604
stepped,25,8,-32.975592036841554,-35.79391579728148,53.61388504123573,phase,550.2842430026144,11.01298231472913,7.5589333681413695
stepped,25,9,-42.691390065523436,-42.868312004031345,-65.8491538808985,phase,556.1164946971655,10.446100080946493,6.381464880563351
stepped,25,10,-35.782438903896,-41.937894216576844,-201.6173453124787,phase,545.1692920848436,10.779845085999183,6.857756038459967
stepped,25,11,-35.78740490554782,-41.71851391932362,-434.5798443306424,phase,544.9059454575001,10.543351845269484,5.943054951021438
stepped,25,12,-34.155530996309984,-39.68676674537051,158.61949310368766,phase,545.8823900878391,10.23273393708222,7.458373207708601
stepped,25,13,-35.762329584223465,-41.77047064806392,-325.5844426768876,phase,545.2175493195763,10.445102302784289,7.168529753832473
stepped,25,14,-36.96872597176197,-42.86398339103779,390.7226408267812,phase,544.8552051064974,10.431332887700087,6.53063186233502
stepped,25,15,-39.91109176486242,-40.371542716828266,-82.53024805174101,phase,554.9707356275188,10.680022434447462,7.568279642875655
stepped,25,16,-32.270491317187044,-36.15215038061456,-116.84913894324878,phase,548.8316805319082,10.451259609659934,7.207401113676472
stepped,25,17,-37.499339361692016,-43.36538040530469,-123.19920427721344,phase,544.5219942216379,10.374391076661865,6.864390235578918
stepped,25,18,-40.087205042988685,-40.564672817555504,405.34409236507526,phase,555.0658892721794,10.897389356969516,5.756952093687893
stepped,25,19,-36.73256915284881,-42.959326771702656,-36.809449116658264,phase,544.7042216729683,10.381926212219053,6.222284865483609
restore,24,0,-39.371525966416336,-43.6273970253539,424.0316479968534,phase,547.4769629497351,12.929058643600865,5.301148417342699
restore,24,1,-48.51786850713737,-48.89663467893139,-205.19792348352988,phase,554.2914622021244,10.567183152800748,5.717224711043686
restore,24,2,-43.3781456527697,-44.637349126270315,-130.7959333747496,phase,551.861879854654,10.540841783316516,6.373433492257493
restore,24,3,-45.68423041868104,-46.36143780822607,-42.82468227861987,phase,553.0718390389718,10.813754533691371,6.124445555925403
restore,24,4,-40.54309229694673,-46.04276420840111,-98.26609889792611,phase,545.5878204888371,10.35510972467999,6.219358952536284
restore,24,5,-39.392465485828836,-43.39307765140855,70.7309767652817,phase,547.5746786815502,11.097207013783294,6.199804175747114
restore,24,6,-39.47654802630438,-43.75933121571647,2.272452964634434,phase,547.1623521389778,11.264107565360916,6.2241670669599065
restore,24,7,-46.308384492773406,-52.3307621485335,-557.0594259748268,phase,543.2578367197876,10.251017030861979,8.048159940151521
restore,24,8,-40.382995036270565,-45.77539144655036,-84.12841977726653,phase,545.5996977694919,10.96839703731026,6.359994606956918
restore,24,9,-45.084571224997404,-45.938149005759286,171.5279175651574,phase,552.7503616017385,11.154100069037256,5.751836643269257
restore,24,10,-45.60623389012047,-51.64736151665774,78.01908406364898,phase,543.849281109836,11.025207235944297,6.927269175029752
restore,24,11,-46.36515692657073,-46.9607273794934,162.53962492468278,phase,553.3499817191239,10.196450348198955,6.201226406181162
restore,24,12,-40.312542322029344,-45.51020380768924,264.90993943576444,phase,545.8064813167913,10.521160990826688,5.777597399588444
restore,24,13,-42.58603131102056,-48.23083013426827,-138.47974139243829,phase,544.9511928529568,10.453296278588939,5.773518449842875
restore,24,14,-45.715997100789544,-51.97086751128156,300.1002584720302,phase,543.6737918645167,10.742224429953252,7.363459611471361
restore,24,15,-42.631121824557844,-48.43877251239577,-157.59174102754378,phase,544.688494415517,10.24999612919978,6.7709328883917825
restore,24,16,-44.27037286383379,-50.25004485530621,76.72161546919025,phase,543.8567882503054,11.026026268572076,6.04733383568452
restore,24,17,-40.16755270257081,-42.839462276568966,-152.185883187096,phase,549.805173705234,10.219718405911324,6.416415400272212
restore,24,18,-44.93750395018815,-51.13010887860004,-25.09371373468602,phase,543.8920842403016,9.99477280375219,7.226467951774761
restore,24,19,-40.49973243434396,-46.01582442757337,21.375162894263266,phase,545.49020777194,11.953268751095884,5.526637522744836
