stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_offset_residual_codes,fit_offset_codes,correlation,rmse_codes,filtered_residual_at_iteration_start,tolerance_codes,sndr_db,enob_bits
offset,calibration,1,1,30,70,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,-11.718556,-11.721251,0.998833,18.911465,nan,1.000000,42.395607,6.750101,
offset,calibration,2,2,1,71,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,0.747693,0.746391,0.999722,9.437610,-4.545973,1.000000,41.920956,6.671256,
offset,calibration,2,2,2,72,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-0.232307,-0.233695,0.999712,9.598259,-4.545973,1.000000,41.820652,6.654593,
offset,calibration,2,2,3,73,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-14.306057,-14.305839,0.999871,6.584959,-4.545973,1.000000,41.991127,6.682912,
offset,calibration,2,2,4,74,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,2.155193,2.151877,0.998445,21.612097,-4.545973,1.000000,42.210331,6.719325,
offset,calibration,2,2,5,75,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-2.493556,-2.493885,0.999888,6.103885,-4.545973,1.000000,41.326275,6.572471,
offset,calibration,2,2,6,76,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-5.629807,-5.633878,0.998408,21.580479,-4.545973,1.000000,41.695438,6.633794,
offset,calibration,2,2,7,77,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-6.781056,-6.781720,0.999748,9.088396,-4.545973,1.000000,41.065102,6.529087,
offset,calibration,2,2,8,78,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-9.227306,-9.230895,0.998222,23.004936,-4.545973,1.000000,42.416077,6.753501,
offset,calibration,2,2,9,79,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-11.653557,-11.657845,0.998174,23.029219,-4.545973,1.000000,40.797714,6.484671,
offset,calibration,2,2,10,80,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-17.748556,-17.749636,0.999691,9.995056,-4.545973,1.000000,41.510780,6.603120,
offset,calibration,2,2,11,81,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,8.947694,8.947452,0.999803,8.098593,-4.545973,1.000000,42.370872,6.745992,
offset,calibration,2,2,12,82,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,3.701443,3.701253,0.999877,6.389478,-4.545973,1.000000,41.230896,6.556628,
offset,calibration,2,2,13,83,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,1.407693,1.406542,0.999684,10.100752,-4.545973,1.000000,42.015648,6.686985,
offset,calibration,2,2,14,84,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,4.640193,4.635390,0.997865,24.682415,-4.545973,1.000000,41.205364,6.552386,
offset,calibration,2,2,15,85,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,12.100193,12.099643,0.999745,9.149029,-4.545973,1.000000,41.712467,6.636623,
offset,calibration,2,2,16,86,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-6.389807,-6.389132,0.999873,6.594138,-4.545973,1.000000,41.099438,6.534791,
offset,calibration,2,2,17,87,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-7.208557,-7.213309,0.997956,24.170321,-4.545973,1.000000,41.662338,6.628296,
offset,calibration,2,2,18,88,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-8.318557,-8.321424,0.998565,20.918192,-4.545973,1.000000,41.752548,6.643281,
offset,calibration,2,2,19,89,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-7.549807,-7.550836,0.999771,8.614262,-4.545973,1.000000,41.089367,6.533118,
offset,calibration,2,2,20,90,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-0.756057,-0.758065,0.999459,13.017032,-4.545973,1.000000,41.169567,6.546440,
offset,calibration,2,2,21,91,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-5.244807,-5.248835,0.997949,24.521944,-4.545973,1.000000,41.995773,6.683683,
offset,calibration,2,2,22,92,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,5.986444,5.985102,0.999437,13.428677,-4.545973,1.000000,42.142029,6.707979,
offset,calibration,2,2,23,93,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-11.091057,-11.093707,0.999113,16.501871,-4.545973,1.000000,42.687996,6.798671,
offset,calibration,2,2,24,94,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,1.397693,1.393976,0.998424,21.605223,-4.545973,1.000000,41.408096,6.586063,
offset,calibration,2,2,25,95,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-4.723557,-4.723101,0.999846,7.242283,-4.545973,1.000000,41.676361,6.630625,
offset,calibration,2,2,26,96,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,6.497694,6.494456,0.998605,20.490351,-4.545973,1.000000,41.966927,6.678892,
offset,calibration,2,2,27,97,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-3.278557,-3.279162,0.999678,10.280982,-4.545973,1.000000,42.330879,6.739349,
offset,calibration,2,2,28,98,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-9.027307,-9.027923,0.999851,6.988901,-4.545973,1.000000,41.618595,6.621029,
offset,calibration,2,2,29,99,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,4.142694,4.142426,0.999896,5.865513,-4.545973,1.000000,42.466400,6.761861,
offset,calibration,2,2,30,100,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.500000,1.000000,nan,1.000000,-7.847307,-7.847850,0.999872,6.497539,-4.545973,1.000000,41.364349,6.578796,
offset,calibration,3,3,1,101,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.864308,1.000000,nan,1.000000,4.848943,4.849033,0.999861,6.824331,-3.898023,1.000000,41.079586,6.531493,
offset,calibration,3,3,2,102,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.864308,1.000000,nan,1.000000,-7.707306,-7.708240,0.999783,8.404140,-3.898023,1.000000,41.623024,6.621765,
offset,calibration,3,3,3,103,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.864308,1.000000,nan,1.000000,-13.124806,-13.128629,0.998115,23.589144,-3.898023,1.000000,41.607635,6.619209,
offset,calibration,3,3,4,104,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.864308,1.000000,nan,1.000000,-3.869807,-3.873882,0.998315,22.200256,-3.898023,1.000000,41.908665,6.669214,
offset,calibration,3,3,5,105,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.864308,1.000000,nan,1.000000,-2.346056,-2.349570,0.998310,22.453901,-3.898023,1.000000,41.594475,6.617023,
offset,calibration,3,3,6,106,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.864308,1.000000,nan,1.000000,-11.357306,-11.357652,0.999815,7.829355,-3.898023,1.000000,42.162048,6.711304,
