stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,integer_lag_samples,fractional_lag_samples,total_lag_samples,correlation,expected_tone_frequency_hz,fitted_tone_frequency_hz,tone_frequency_error_hz,tone_rmse_codes,tone_correlation,dither_valid,dither_peak,dither_lag_samples,selected_dac_adc_ratio,selected_as_reference,sndr_db,enob_bits
timing,calibration,0,1,1,1,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,37.000000,-0.008578,36.991421,0.999887,299409448.818898,299409448.818898,0.000000,6.182620,0.999887,1,0.404958,4.309038,2.000000,0,42.432575,6.756242,
timing,calibration,0,1,2,2,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,-61.000000,0.004687,-60.995312,0.999899,299409448.818898,299409448.818898,0.000000,6.534982,0.999875,1,0.531608,-53.866554,2.000000,0,42.193565,6.716539,
timing,calibration,0,1,3,3,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,nan,18.000000,0.000301,18.000301,0.999799,299409448.818898,299409448.818898,0.000000,8.181275,0.999800,1,0.238126,16.813914,2.000000,1,41.703300,6.635100,
timing,calibration,0,1,4,4,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,-12.000000,-0.006931,-12.006930,0.999801,299409448.818898,299409448.818898,0.000000,8.259543,0.999793,1,0.274393,-92.640067,2.000000,0,41.629452,6.622833,
timing,calibration,0,1,5,5,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,nan,14.000000,0.000998,14.000998,0.999901,299409448.818898,299409448.818898,0.000000,5.856773,0.999898,1,0.338959,275.266255,2.000000,0,42.052185,6.693054,
timing,calibration,0,1,6,6,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,39.000000,-0.006209,38.993790,0.999894,299409448.818898,299409448.818898,0.000000,5.924675,0.999894,1,0.294889,-140.056015,2.000000,0,41.763298,6.645066,
timing,calibration,0,1,7,7,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,nan,-11.000000,-0.005899,-11.005898,0.999768,299409448.818898,299409448.818898,0.000000,9.050070,0.999753,1,0.129273,155.240005,2.000000,0,42.187828,6.715586,
timing,calibration,0,1,8,8,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,nan,6.000000,-0.011181,5.988819,0.999868,299409448.818898,299409448.818898,0.000000,6.508193,0.999872,1,0.230683,504.402840,2.000000,0,42.258968,6.727404,
timing,calibration,0,1,9,9,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,nan,-21.000000,0.005360,-20.994640,0.999869,299409448.818898,299409448.818898,0.000000,6.539066,0.999871,1,0.244020,-239.553909,2.000000,0,41.304592,6.568870,
timing,calibration,0,1,10,10,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,nan,-9.000000,0.004792,-8.995208,0.999894,299409448.818898,299409448.818898,0.000000,6.030537,0.999891,1,0.387390,-224.554663,2.000000,0,41.759621,6.644455,
