stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,integer_lag_samples,fractional_lag_samples,total_lag_samples,correlation,expected_tone_frequency_hz,fitted_tone_frequency_hz,tone_frequency_error_hz,tone_rmse_codes,tone_correlation,dither_valid,dither_peak,dither_lag_samples,selected_dac_adc_ratio,selected_as_reference,sndr_db,enob_bits
timing,calibration,0,1,1,1,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,11.000000,-0.160837,10.839163,0.998337,199606299.212598,199606299.212598,0.000000,21.554348,0.998231,1,0.580246,73.702725,2.000000,0,39.829937,6.323910,
timing,calibration,0,1,2,2,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,-8.000000,0.101735,-7.898264,0.997983,199606299.212598,199606299.212598,0.000000,22.787910,0.998084,1,-0.451950,-90.249226,2.000000,0,37.782196,5.983754,
timing,calibration,0,1,3,3,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,nan,11.000000,-0.180154,10.819845,0.998350,199606299.212598,199606299.212598,0.000000,20.075891,0.998435,1,-0.440618,-61.857469,2.000000,1,37.119728,5.873709,
timing,calibration,0,1,4,4,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,4.000000,-0.046438,3.953562,0.998410,199606299.212598,199606299.212598,0.000000,22.125914,0.998288,1,0.554158,-37.277958,2.000000,0,38.254654,6.062235,
timing,calibration,0,1,5,5,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,nan,9.000000,-0.076467,8.923532,0.997822,199606299.212598,199606299.212598,0.000000,24.239075,0.997872,1,-0.346823,-348.580176,2.000000,0,38.366856,6.080873,
timing,calibration,0,1,6,6,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,nan,7.000000,-0.136636,6.863364,0.998371,199606299.212598,199606299.212598,0.000000,21.164623,0.998320,1,-0.441085,133.734214,2.000000,0,40.013680,6.354432,
timing,calibration,0,1,7,7,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,nan,-5.000000,0.059865,-4.940135,0.998518,199606299.212598,199606299.212598,0.000000,19.970467,0.998576,1,-0.411014,38.064817,2.000000,0,37.844906,5.994171,
timing,calibration,0,1,8,8,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,8.000000,-0.217538,7.782462,0.997890,199606299.212598,199606299.212598,0.000000,22.699114,0.997958,1,0.486359,22.395283,2.000000,0,40.025738,6.356435,
timing,calibration,0,1,9,9,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,-11.000000,0.172340,-10.827660,0.998447,199606299.212598,199606299.212598,0.000000,20.695957,0.998340,1,0.501841,103.527877,2.000000,0,38.992367,6.184779,
timing,calibration,0,1,10,10,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,9.000000,-0.184007,8.815993,0.998367,199606299.212598,199606299.212598,0.000000,20.062441,0.998429,1,-0.474092,-70.459358,2.000000,0,37.595718,5.952777,
