sample_index,adc_code,ifc_vpp,sweep_index
0,210,1.7,4
1,-64,1.7,4
2,53,1.7,4
3,-136,1.7,4
4,132,1.7,4
5,-140,1.7,4
6,76,1.7,4
7,-162,1.7,4
8,149,1.7,4
9,-125,1.7,4
10,248,1.7,4
11,-30,1.7,4
12,255,1.7,4
13,-47,1.7,4
14,119,1.7,4
15,-45,1.7,4
16,107,1.7,4
17,-99,1.7,4
18,124,1.7,4
19,-196,1.7,4
20,80,1.7,4
21,-140,1.7,4
22,129,1.7,4
23,-96,1.7,4
24,316,1.7,4
25,-22,1.7,4
26,201,1.7,4
27,-90,1.7,4
28,73,1.7,4
29,-208,1.7,4
30,137,1.7,4
31,-77,1.7,4
32,126,1.7,4
33,-232,1.7,4
34,101,1.7,4
35,-65,1.7,4
36,269,1.7,4
37,-86,1.7,4
38,183,1.7,4
39,68,1.7,4
40,176,1.7,4
41,-141,1.7,4
42,110,1.7,4
43,-101,1.7,4
44,60,1.7,4
45,-165,1.7,4
46,154,1.7,4
47,-136,1.7,4
48,213,1.7,4
49,-116,1.7,4
50,166,1.7,4
51,-2,1.7,4
52,158,1.7,4
53,-131,1.7,4
54,193,1.7,4
55,-89,1.7,4
56,-273,1.7,4
57,-191,1.7,4
58,71,1.7,4
59,-209,1.7,4
60,240,1.7,4
61,-65,1.7,4
62,467,1.7,4
63,-52,1.7,4
64,243,1.7,4
65,-31,1.7,4
66,167,1.7,4
67,-7,1.7,4
68,174,1.7,4
69,-187,1.7,4
70,86,1.7,4
71,-155,1.7,4
72,103,1.7,4
73,-119,1.7,4
74,264,1.7,4
75,-83,1.7,4
76,257,1.7,4
77,-52,1.7,4
78,252,1.7,4
79,-26,1.7,4
80,131,1.7,4
81,-138,1.7,4
82,158,1.7,4
83,-104,1.7,4
84,76,1.7,4
85,-176,1.7,4
86,481,1.7,4
87,-87,1.7,4
88,271,1.7,4
89,-101,1.7,4
90,264,1.7,4
91,-60,1.7,4
92,145,1.7,4
93,-41,1.7,4
94,133,1.7,4
95,-168,1.7,4
96,3,1.7,4
97,-212,1.7,4
98,150,1.7,4
99,-74,1.7,4
100,161,1.7,4
101,-85,1.7,4
102,332,1.7,4
103,-80,1.7,4
104,108,1.7,4
105,-111,1.7,4
106,73,1.7,4
107,-83,1.7,4
108,182,1.7,4
109,-94,1.7,4
110,-236,1.7,4
111,-189,1.7,4
112,416,1.7,4
113,-83,1.7,4
114,179,1.7,4
115,-76,1.7,4
116,244,1.7,4
117,-130,1.7,4
118,175,1.7,4
119,-15,1.7,4
120,110,1.7,4
121,-143,1.7,4
122,89,1.7,4
123,-191,1.7,4
124,121,1.7,4
125,-181,1.7,4
126,237,1.7,4
127,-55,1.7,4
128,263,1.7,4
129,21,1.7,4
130,222,1.7,4
131,-66,1.7,4
132,134,1.7,4
133,-40,1.7,4
134,153,1.7,4
135,-151,1.7,4
136,22,1.7,4
137,-129,1.7,4
138,203,1.7,4
139,-107,1.7,4
140,197,1.7,4
141,-88,1.7,4
142,274,1.7,4
143,-60,1.7,4
144,129,1.7,4
145,-167,1.7,4
146,166,1.7,4
147,-124,1.7,4
148,56,1.7,4
149,-214,1.7,4
150,189,1.7,4
151,-84,1.7,4
152,143,1.7,4
153,-117,1.7,4
154,307,1.7,4
155,-37,1.7,4
156,214,1.7,4
157,-26,1.7,4
158,162,1.7,4
159,-79,1.7,4
160,190,1.7,4
161,-169,1.7,4
162,15,1.7,4
163,-146,1.7,4
164,176,1.7,4
165,-141,1.7,4
166,189,1.7,4
167,-6,1.7,4
168,222,1.7,4
169,-105,1.7,4
170,196,1.7,4
171,39,1.7,4
172,101,1.7,4
173,-69,1.7,4
174,140,1.7,4
175,-281,1.7,4
176,115,1.7,4
177,-126,1.7,4
