sample_index,adc_code,ifc_vpp,sweep_index
0,202,1.47,6
1,-99,1.47,6
2,153,1.47,6
3,-184,1.47,6
4,86,1.47,6
5,-191,1.47,6
6,63,1.47,6
7,-143,1.47,6
8,182,1.47,6
9,-85,1.47,6
10,222,1.47,6
11,-17,1.47,6
12,204,1.47,6
13,-27,1.47,6
14,135,1.47,6
15,-98,1.47,6
16,32,1.47,6
17,-253,1.47,6
18,57,1.47,6
19,-241,1.47,6
20,147,1.47,6
21,-214,1.47,6
22,116,1.47,6
23,-146,1.47,6
24,185,1.47,6
25,-77,1.47,6
26,150,1.47,6
27,-79,1.47,6
28,51,1.47,6
29,-125,1.47,6
30,75,1.47,6
31,-153,1.47,6
32,54,1.47,6
33,-177,1.47,6
34,129,1.47,6
35,-91,1.47,6
36,233,1.47,6
37,-48,1.47,6
38,173,1.47,6
39,-44,1.47,6
40,98,1.47,6
41,-58,1.47,6
42,83,1.47,6
43,-181,1.47,6
44,33,1.47,6
45,-167,1.47,6
46,87,1.47,6
47,-120,1.47,6
48,173,1.47,6
49,-11,1.47,6
50,217,1.47,6
51,1,1.47,6
52,163,1.47,6
53,-13,1.47,6
54,81,1.47,6
55,-160,1.47,6
56,65,1.47,6
57,-228,1.47,6
58,87,1.47,6
59,-254,1.47,6
60,148,1.47,6
61,-119,1.47,6
62,195,1.47,6
63,-48,1.47,6
64,206,1.47,6
65,-49,1.47,6
66,131,1.47,6
67,-132,1.47,6
68,43,1.47,6
69,-187,1.47,6
70,27,1.47,6
71,-231,1.47,6
72,107,1.47,6
73,-162,1.47,6
74,195,1.47,6
75,-49,1.47,6
76,220,1.47,6
77,6,1.47,6
78,206,1.47,6
79,-33,1.47,6
80,125,1.47,6
81,-138,1.47,6
82,92,1.47,6
83,-220,1.47,6
84,13,1.47,6
85,-227,1.47,6
86,123,1.47,6
87,-150,1.47,6
88,226,1.47,6
89,-79,1.47,6
90,164,1.47,6
91,-44,1.47,6
92,135,1.47,6
93,-79,1.47,6
94,25,1.47,6
95,-128,1.47,6
96,12,1.47,6
97,-176,1.47,6
98,69,1.47,6
99,-221,1.47,6
100,107,1.47,6
101,-147,1.47,6
102,198,1.47,6
103,-80,1.47,6
104,173,1.47,6
105,-106,1.47,6
106,162,1.47,6
107,-149,1.47,6
108,77,1.47,6
109,-191,1.47,6
110,100,1.47,6
111,-234,1.47,6
112,149,1.47,6
113,-127,1.47,6
114,209,1.47,6
115,-52,1.47,6
116,209,1.47,6
117,-74,1.47,6
118,170,1.47,6
119,-105,1.47,6
120,59,1.47,6
121,-139,1.47,6
122,68,1.47,6
123,-204,1.47,6
124,101,1.47,6
125,-177,1.47,6
126,195,1.47,6
127,-123,1.47,6
128,213,1.47,6
129,-92,1.47,6
130,164,1.47,6
131,-75,1.47,6
132,102,1.47,6
133,-151,1.47,6
134,88,1.47,6
135,-172,1.47,6
136,11,1.47,6
137,-173,1.47,6
138,44,1.47,6
139,-125,1.47,6
140,171,1.47,6
141,-85,1.47,6
142,226,1.47,6
143,-47,1.47,6
144,164,1.47,6
145,-46,1.47,6
146,69,1.47,6
147,-169,1.47,6
148,8,1.47,6
149,-220,1.47,6
150,93,1.47,6
151,-225,1.47,6
152,160,1.47,6
153,-106,1.47,6
154,168,1.47,6
155,-23,1.47,6
156,175,1.47,6
157,-4,1.47,6
158,167,1.47,6
159,-92,1.47,6
160,29,1.47,6
161,-170,1.47,6
162,34,1.47,6
163,-212,1.47,6
164,122,1.47,6
165,-119,1.47,6
166,153,1.47,6
167,-122,1.47,6
168,234,1.47,6
169,-105,1.47,6
170,137,1.47,6
171,-121,1.47,6
172,66,1.47,6
173,-204,1.47,6
174,65,1.47,6
175,-226,1.47,6
176,62,1.47,6
177,-191,1.47,6
178,146,1.47,6
179,-77,1.47,6
180,208,1.47,6
181,-49,1.47,6
182,231,1.47,6
183,-81,1.47,6
184,95,1.47,6
185,-124,1.47,6
186,81,1.47,6
187,-178,1.47,6
188,30,1.47,6
189,-182,1.47,6
190,75,1.47,6
191,-146,1.47,6
192,185,1.47,6
193,-15,1.47,6
194,172,1.47,6
195,40,1.47,6
196,149,1.47,6
197,-59,1.47,6
198,88,1.47,6
199,-212,1.47,6
200,88,1.47,6
201,-254,1.47,6
202,108,1.47,6
203,-221,1.47,6
204,105,1.47,6
205,-137,1.47,6
206,206,1.47,6
207,-96,1.47,6
208,170,1.47,6
209,-52,1.47,6
210,157,1.47,6
211,-184,1.47,6
212,59,1.47,6
213,-238,1.47,6
214,53,1.47,6
215,-226,1.47,6
216,133,1.47,6
217,-114,1.47,6
218,195,1.47,6
219,-92,1.47,6
