sample_index,adc_code,ifc_vpp,sweep_index
0,226,1.36,7
1,-107,1.36,7
2,292,1.36,7
3,-49,1.36,7
4,153,1.36,7
5,55,1.36,7
6,33,1.36,7
7,-230,1.36,7
8,80,1.36,7
9,-285,1.36,7
10,146,1.36,7
11,-223,1.36,7
12,149,1.36,7
13,-139,1.36,7
14,233,1.36,7
15,-17,1.36,7
16,261,1.36,7
17,-13,1.36,7
18,106,1.36,7
19,-147,1.36,7
20,32,1.36,7
21,-255,1.36,7
22,69,1.36,7
23,-270,1.36,7
24,95,1.36,7
25,-245,1.36,7
26,204,1.36,7
27,-114,1.36,7
28,219,1.36,7
29,-1,1.36,7
30,165,1.36,7
31,-44,1.36,7
32,112,1.36,7
33,-163,1.36,7
34,44,1.36,7
35,-253,1.36,7
36,104,1.36,7
37,-197,1.36,7
38,204,1.36,7
39,-150,1.36,7
40,199,1.36,7
41,-38,1.36,7
42,199,1.36,7
43,-72,1.36,7
44,152,1.36,7
45,-108,1.36,7
46,84,1.36,7
47,-142,1.36,7
48,36,1.36,7
49,-189,1.36,7
50,154,1.36,7
51,-209,1.36,7
52,176,1.36,7
53,-30,1.36,7
54,256,1.36,7
55,-57,1.36,7
56,158,1.36,7
57,-25,1.36,7
58,85,1.36,7
59,-131,1.36,7
60,-16,1.36,7
61,-249,1.36,7
62,104,1.36,7
63,-177,1.36,7
64,166,1.36,7
65,-132,1.36,7
66,258,1.36,7
67,-10,1.36,7
68,236,1.36,7
69,-62,1.36,7
70,139,1.36,7
71,-100,1.36,7
72,98,1.36,7
73,-211,1.36,7
74,1,1.36,7
75,-229,1.36,7
76,90,1.36,7
77,-181,1.36,7
78,149,1.36,7
79,-55,1.36,7
80,230,1.36,7
81,-17,1.36,7
82,237,1.36,7
83,-67,1.36,7
84,150,1.36,7
85,-143,1.36,7
86,81,1.36,7
87,-190,1.36,7
88,69,1.36,7
89,-194,1.36,7
90,236,1.36,7
91,-141,1.36,7
92,183,1.36,7
93,65,1.36,7
94,243,1.36,7
95,-84,1.36,7
96,126,1.36,7
97,-71,1.36,7
98,70,1.36,7
99,-244,1.36,7
100,56,1.36,7
101,-287,1.36,7
102,159,1.36,7
103,-183,1.36,7
104,156,1.36,7
105,-113,1.36,7
106,227,1.36,7
107,-23,1.36,7
108,214,1.36,7
109,-78,1.36,7
110,141,1.36,7
111,-159,1.36,7
112,23,1.36,7
113,-255,1.36,7
114,214,1.36,7
115,-236,1.36,7
116,125,1.36,7
117,-120,1.36,7
118,217,1.36,7
119,-46,1.36,7
120,290,1.36,7
121,-70,1.36,7
122,232,1.36,7
123,-51,1.36,7
124,40,1.36,7
125,-228,1.36,7
126,26,1.36,7
127,-242,1.36,7
128,88,1.36,7
129,-167,1.36,7
130,218,1.36,7
131,-70,1.36,7
132,295,1.36,7
133,-3,1.36,7
134,206,1.36,7
135,-65,1.36,7
136,141,1.36,7
137,-167,1.36,7
138,66,1.36,7
139,-246,1.36,7
140,101,1.36,7
141,-122,1.36,7
142,190,1.36,7
143,-160,1.36,7
144,241,1.36,7
145,-23,1.36,7
146,244,1.36,7
147,-5,1.36,7
148,161,1.36,7
149,-137,1.36,7
150,114,1.36,7
151,-320,1.36,7
152,104,1.36,7
153,-190,1.36,7
154,144,1.36,7
155,-163,1.36,7
156,199,1.36,7
157,-103,1.36,7
158,244,1.36,7
159,38,1.36,7
160,199,1.36,7
161,-97,1.36,7
162,61,1.36,7
163,-150,1.36,7
164,39,1.36,7
165,-233,1.36,7
166,61,1.36,7
167,-193,1.36,7
168,142,1.36,7
169,-177,1.36,7
170,204,1.36,7
171,-25,1.36,7
172,195,1.36,7
173,-42,1.36,7
174,223,1.36,7
175,-167,1.36,7
176,5,1.36,7
177,-254,1.36,7
178,10,1.36,7
179,-264,1.36,7
180,83,1.36,7
181,-180,1.36,7
182,176,1.36,7
183,-101,1.36,7
184,203,1.36,7
185,-26,1.36,7
186,235,1.36,7
187,-43,1.36,7
188,108,1.36,7
189,-145,1.36,7
190,43,1.36,7
191,-227,1.36,7
192,118,1.36,7
193,-230,1.36,7
