stage,iteration,accepted_frames,rejected_frames,raw_batch_residual,filtered_batch_residual,correction_before,correction_after,correction_delta,residual_std,residual_min,residual_max,tolerance,pass_count,required_passes,status,sndr_db,enob_bits
offset,1,30,0,-4.661069,-4.661069,0.000000,1.500000,1.500000,5.923388,-15.787944,8.550806,1.000000,0,2,RUNNING,38.780918,6.149654,
offset,2,30,0,-3.413027,-4.161852,1.500000,2.956648,1.456648,6.098450,-15.945444,9.237057,1.000000,0,2,RUNNING,38.742077,6.143201,
offset,3,30,0,-1.733194,-3.190389,2.956648,4.073284,1.116636,5.258611,-13.322944,9.274556,1.000000,0,2,RUNNING,38.753910,6.145169,
offset,4,30,0,-0.781110,-2.226677,4.073284,4.852621,0.779337,6.771914,-11.755444,11.233306,1.000000,0,2,RUNNING,38.476589,6.099101,
offset,5,30,0,1.358973,-0.792417,4.852621,5.129967,0.277346,6.318589,-10.650444,12.300806,1.000000,0,2,RUNNING,38.676456,6.132302,
offset,6,30,0,0.772598,-0.166411,5.129967,5.129967,0.000000,6.631866,-12.914194,13.583306,1.000000,1,2,PASS,38.395466,6.085626,
offset,7,30,0,0.143598,-0.042408,5.129967,5.129967,0.000000,5.545482,-10.589193,10.154556,1.000000,2,2,PASS,38.844528,6.160222,
