stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,integer_lag_samples,fractional_lag_samples,total_lag_samples,correlation,expected_tone_frequency_hz,fitted_tone_frequency_hz,tone_frequency_error_hz,tone_rmse_codes,tone_correlation,dither_valid,dither_peak,dither_lag_samples,selected_dac_adc_ratio,selected_as_reference,sndr_db,enob_bits
timing,calibration,0,1,1,1,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,nan,25.000000,-0.003101,24.996899,0.999780,299409448.818898,299409448.818898,0.000000,8.939368,0.999766,1,0.497483,-326.930939,2.000000,0,40.479237,6.431767,
timing,calibration,0,1,2,2,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,-49.000000,-0.000414,-49.000412,0.999832,299409448.818898,299409448.818898,0.000000,7.671716,0.999829,1,0.383919,177.979693,2.000000,0,40.419819,6.421897,
timing,calibration,0,1,3,3,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,4.000000,-0.011605,3.988394,0.999757,299409448.818898,299409448.818898,0.000000,8.856867,0.999768,1,0.336705,119.345368,2.000000,0,40.741055,6.475258,
timing,calibration,0,1,4,4,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,nan,47.000000,-0.010295,46.989704,0.999826,299409448.818898,299409448.818898,0.000000,7.773108,0.999821,1,0.387772,1.532843,2.000000,0,40.349728,6.410254,
timing,calibration,0,1,5,5,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,61.000000,-0.008995,60.991005,0.999813,299409448.818898,299409448.818898,0.000000,8.004216,0.999810,1,0.507236,-41.893033,2.000000,0,40.088120,6.366797,
timing,calibration,0,1,6,6,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,6.000000,0.003287,6.003287,0.999756,299409448.818898,299409448.818898,0.000000,9.014810,0.999763,1,0.381373,-186.717122,2.000000,0,39.810547,6.320689,
timing,calibration,0,1,7,7,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,nan,-33.000000,0.006911,-32.993088,0.999775,299409448.818898,299409448.818898,0.000000,9.171011,0.999752,1,0.389768,19.558871,2.000000,0,40.580025,6.448509,
timing,calibration,0,1,8,8,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,61.000000,-0.007888,60.992111,0.999828,299409448.818898,299409448.818898,0.000000,7.855315,0.999818,1,0.339570,456.299778,2.000000,1,40.853439,6.493927,
timing,calibration,0,1,9,9,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,nan,29.000000,-0.007876,28.992125,0.999726,299409448.818898,299409448.818898,0.000000,9.494810,0.999734,1,0.324517,-152.803189,2.000000,0,40.189297,6.383605,
timing,calibration,0,1,10,10,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,nan,14.000000,-0.011195,13.988806,0.999791,299409448.818898,299409448.818898,0.000000,8.477875,0.999785,1,0.607653,-26.057034,2.000000,0,40.814701,6.487492,
