stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,delay_register_active,offset_correction_active_codes,gain_correction_active,active_polarity,primary_valid,primary_rejection_reason,raw_phase_difference_rad,polarity_hypothesis,applied_phase_adjustment_rad,corrected_phase_difference_rad,measured_skew_samples,measured_skew_ps,tone_A_frequency_hz,tone_B_frequency_hz,tone_A_amplitude,tone_B_amplitude,tone_A_correlation,tone_B_correlation,tone_A_rmse,tone_B_rmse,dither_A_valid,dither_B_valid,dither_skew_valid,dither_skew_samples,dither_skew_ps,tone_dither_disagreement_samples,tone_dither_disagreement_ps,tone_A_sndr_db,tone_A_enob_bits,tone_B_sndr_db,tone_B_enob_bits,dither_reason,dither_rising_skew_ps,dither_falling_skew_ps,dither_edge_disagreement_ps
skew,closed_loop_initial_baseline,0,1,1,441,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.960614,1.000000,1.000000,1,none,2.918568,-1,-3.141593,-0.223025,-0.231444,-178.033901,199375040.848204,199375040.848204,550.346440,522.992583,0.999643,0.999606,10.403084,10.386770,1,1,0,nan,nan,nan,nan,31.459181,4.933419,31.030001,4.862126,skew outside supported linear range,-331.982662,-148.221513,183.761150,
skew,closed_loop_initial_baseline,0,1,2,442,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.960614,1.000000,1.000000,1,none,2.961230,-1,-3.141593,-0.180362,-0.187171,-143.977741,199375040.848204,199375040.848204,551.777537,528.061911,0.999606,0.999556,10.967381,11.139247,1,1,0,nan,nan,nan,nan,31.022922,4.860951,30.506280,4.775130,edge estimates disagree,-153.785231,-94.767657,59.017574,
skew,closed_loop_initial_baseline,0,1,3,443,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.960614,1.000000,1.000000,1,none,2.978145,-1,-3.141593,-0.163447,-0.169618,-130.475070,199375040.848204,199375040.848204,551.288310,529.987021,0.999641,0.999610,10.445661,10.466350,1,1,0,nan,nan,nan,nan,31.438557,4.929993,31.079100,4.870282,edge estimates disagree,-79.542858,-212.912299,133.369441,
skew,closed_loop_initial_baseline,0,1,4,444,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.960614,1.000000,1.000000,1,none,2.949089,-1,-3.141593,-0.192504,-0.199771,-153.669760,199375040.848204,199375040.848204,551.750390,526.548607,0.999635,0.999592,10.532568,10.627913,1,1,0,nan,nan,nan,nan,31.373868,4.919247,30.889509,4.838789,edge estimates disagree,52.586356,-144.841307,197.427664,
skew,closed_loop_initial_baseline,0,1,5,445,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.960614,1.000000,1.000000,1,none,2.918889,-1,-3.141593,-0.222704,-0.231111,-177.777694,199375040.848204,199375040.848204,550.384003,522.642188,0.999639,0.999620,10.448436,10.183766,1,1,0,nan,nan,nan,nan,31.421990,4.927241,31.195621,4.889638,edge estimates disagree,-405.275949,76.971187,482.247136,
skew,closed_loop_initial_baseline,0,1,6,446,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.960614,1.000000,1.000000,1,none,2.943489,-1,-3.141593,-0.198103,-0.205582,-158.139702,199375040.848204,199375040.848204,551.401157,525.522161,0.999567,0.999509,11.469961,11.646804,1,1,0,nan,nan,nan,nan,30.627815,4.795318,30.077386,4.703885,edge estimates disagree,-40.567999,-98.294023,57.726023,
skew,closed_loop_initial_baseline,0,1,7,447,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.960614,1.000000,1.000000,1,none,2.924099,-1,-3.141593,-0.217493,-0.225704,-173.618323,199375040.848204,199375040.848204,550.629707,523.533977,0.999636,0.999619,10.519226,10.233967,1,1,0,nan,nan,nan,nan,31.367217,4.918142,31.167717,4.885003,skew outside supported linear range,-313.426179,-95.986247,217.439932,
skew,closed_loop_initial_baseline,0,1,8,448,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.960614,1.000000,1.000000,1,none,2.963373,-1,-3.141593,-0.178220,-0.184948,-142.267337,199375040.848204,199375040.848204,551.731642,528.377507,0.999607,0.999575,10.939284,10.884928,1,1,0,nan,nan,nan,nan,31.044480,4.864532,30.712075,4.809315,edge estimates disagree,-107.534928,-213.379749,105.844821,
skew,closed_loop_initial_baseline,0,1,9,449,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.960614,1.000000,1.000000,1,none,2.974976,-1,-3.141593,-0.166616,-0.172906,-133.004682,199375040.848204,199375040.848204,551.092624,529.597212,0.999622,0.999612,10.707590,10.423022,1,1,0,nan,nan,nan,nan,31.220357,4.893747,31.108741,4.875206,edge estimates disagree,88.002339,-163.902803,251.905143,
skew,closed_loop_initial_baseline,0,1,10,450,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-8.960614,1.000000,1.000000,1,none,2.963677,-1,-3.141593,-0.177916,-0.184632,-142.024778,199375040.848204,199375040.848204,551.513663,528.347016,0.999612,0.999579,10.864094,10.836476,1,1,0,nan,nan,nan,nan,31.100955,4.873913,30.750324,4.815668,edge estimates disagree,-44.541863,-170.003845,125.461982,
