stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,raw_baseline_global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,final_offset_correction_codes,final_gain_correction,active_polarity,final_delay_register,final_skew_samples,final_skew_ps,controller_iteration,analysis_iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_a_thd_db,raw_a_signal_hz,raw_a_worst_spur_hz,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,raw_b_thd_db,raw_b_signal_hz,raw_b_worst_spur_hz,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_a_thd_db,cal_a_signal_hz,cal_a_worst_spur_hz,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,cal_b_thd_db,cal_b_signal_hz,cal_b_worst_spur_hz,A_correlation,B_correlation,A_RMSE_codes,B_RMSE_codes,raw_ab_correlation,cal_ab_correlation,raw_ab_rmse_codes,cal_ab_rmse_codes,raw_ab_residual_dbc,cal_ab_residual_dbc,raw_offset_mismatch_codes,cal_offset_mismatch_codes,raw_gain_ratio_b_over_a,cal_gain_ratio_b_over_a,raw_gain_mismatch,cal_gain_mismatch,raw_skew_mismatch_ps,cal_skew_mismatch_ps,raw_parallel_avg_sndr_db,raw_parallel_avg_sfdr_db,raw_parallel_avg_enob,raw_parallel_avg_thd_db,raw_parallel_avg_signal_hz,raw_parallel_avg_worst_spur_hz,cal_parallel_avg_sndr_db,cal_parallel_avg_sfdr_db,cal_parallel_avg_enob,cal_parallel_avg_thd_db,cal_parallel_avg_signal_hz,cal_parallel_avg_worst_spur_hz,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,valid,rejection_reason
performance,performance,0,1,11,621,21,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-8.960614,1.000000,1.000000,35,0.000875,0.672719,0,11,8800,0,6,1,-8.960614,-8.960614,1.000000,1.000000,1.000000,nan,nan,0.672719,33.594288,32.840958,5.288088,-52.406342,199875000.000000,22750000.000000,33.280033,32.596996,5.235886,-51.153908,199875000.000000,22750000.000000,34.404629,33.363865,5.422696,-51.105293,199875000.000000,24375000.000000,33.621143,32.554974,5.292549,-51.700569,199875000.000000,24375000.000000,0.998785,0.998784,30.803076,23.462339,0.975819,0.999952,86.134651,15.278163,-12.918731,-28.079754,-4.386098,-3.836803,0.949934,0.988346,-0.050066,-0.011654,-148.823750,0.672719,33.612511,32.673340,5.291115,-55.074780,199875000.000000,22750000.000000,34.213562,32.959526,5.390957,-53.676826,199875000.000000,24375000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,12,622,22,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-8.960614,1.000000,1.000000,35,0.000875,0.672719,0,12,9600,0,6,1,-8.960614,-8.960614,1.000000,1.000000,1.000000,nan,nan,0.672719,33.436398,32.618973,5.261860,-50.875534,199875000.000000,19500000.000000,33.222916,32.500217,5.226398,-49.846352,199875000.000000,19500000.000000,33.435093,32.677017,5.261643,-50.932362,199875000.000000,19500000.000000,32.991123,32.441875,5.187894,-53.276470,199875000.000000,19500000.000000,0.998769,0.998785,28.577547,23.897034,0.977765,0.999947,83.424370,14.188155,-13.276318,-28.733160,-3.898809,-5.100999,0.951089,0.988271,-0.048911,-0.011729,-148.823750,0.672719,33.545334,32.520432,5.279956,-53.710400,199875000.000000,19500000.000000,33.453472,32.569038,5.264696,-55.416294,199875000.000000,19500000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,13,623,23,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-8.960614,1.000000,1.000000,35,0.000875,0.672719,0,13,10400,0,6,1,-8.960614,-8.960614,1.000000,1.000000,1.000000,nan,nan,0.672719,33.170803,32.445393,5.217741,-51.435993,199875000.000000,19500000.000000,32.808247,32.121387,5.157516,-49.657104,199875000.000000,19500000.000000,33.086487,32.500729,5.203735,-51.118034,199875000.000000,19500000.000000,33.148209,32.669579,5.213988,-49.587933,199875000.000000,19500000.000000,0.998657,0.998632,29.367994,24.066179,0.979764,0.999949,79.461166,14.898229,-13.680022,-28.288059,-2.827969,-4.312617,0.952400,0.988079,-0.047600,-0.011921,-148.823750,0.672719,33.142971,32.250397,5.213118,-54.222103,199875000.000000,19500000.000000,33.348167,32.591377,5.247204,-53.031754,199875000.000000,19500000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,14,624,24,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-8.960614,1.000000,1.000000,35,0.000875,0.672719,0,14,11200,0,6,1,-8.960614,-8.960614,1.000000,1.000000,1.000000,nan,nan,0.672719,34.100292,32.881897,5.372142,-52.251995,199875000.000000,24375000.000000,33.165668,32.197510,5.216888,-51.764793,199875000.000000,24375000.000000,33.930336,33.044014,5.343910,-50.175114,199875000.000000,24375000.000000,33.682171,32.506165,5.302686,-50.580112,199875000.000000,24375000.000000,0.998792,0.998797,32.080399,25.533894,0.977280,0.999950,84.655640,14.603262,-13.184280,-28.548317,-3.842764,-4.665099,0.950671,0.987971,-0.049329,-0.012029,-148.823750,0.672719,33.827118,32.499279,5.326764,-54.914780,199875000.000000,24375000.000000,34.059456,32.780182,5.365358,-53.884480,199875000.000000,24375000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,15,625,25,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-8.960614,1.000000,1.000000,35,0.000875,0.672719,0,15,12000,0,6,1,-8.960614,-8.960614,1.000000,1.000000,1.000000,nan,nan,0.672719,33.753750,33.066471,5.314576,-51.224518,199875000.000000,22750000.000000,32.995571,31.973911,5.188633,-51.622162,199875000.000000,22750000.000000,33.416096,32.581001,5.258488,-50.280056,199875000.000000,19500000.000000,33.509789,32.395439,5.274051,-52.224056,199875000.000000,19500000.000000,0.998167,0.998152,32.151253,24.497524,0.976339,0.999950,84.796570,14.278947,-13.007451,-28.466244,-4.484834,-4.872303,0.949951,0.988424,-0.050049,-0.011576,-148.823750,0.672719,33.574322,32.479511,5.284771,-53.753525,199875000.000000,22750000.000000,33.651970,32.495651,5.297669,-53.806217,199875000.000000,19500000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,16,626,26,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-8.960614,1.000000,1.000000,35,0.000875,0.672719,0,16,12800,0,6,1,-8.960614,-8.960614,1.000000,1.000000,1.000000,nan,nan,0.672719,33.211540,32.533318,5.224508,-50.613022,199875000.000000,22750000.000000,33.639660,33.071754,5.295625,-51.543308,199875000.000000,22750000.000000,33.377945,32.757870,5.252151,-50.195126,199875000.000000,21125000.000000,33.679977,32.660191,5.302322,-51.867233,199875000.000000,19500000.000000,0.998704,0.998704,32.020874,23.366991,0.980710,0.999950,78.411118,14.203582,-13.880455,-28.649530,-4.814423,-5.050550,0.953854,0.988093,-0.046146,-0.011907,-148.823750,0.672719,33.606586,32.757977,5.290131,-53.352493,199875000.000000,22750000.000000,33.696400,32.674377,5.305050,-53.569256,199875000.000000,19500000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,17,627,27,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-8.960614,1.000000,1.000000,35,0.000875,0.672719,0,17,13600,0,6,1,-8.960614,-8.960614,1.000000,1.000000,1.000000,nan,nan,0.672719,33.896236,32.649956,5.338245,-51.224735,199875000.000000,24375000.000000,33.499722,32.144947,5.272379,-53.037403,199875000.000000,24375000.000000,33.535725,32.559193,5.278359,-50.604843,199875000.000000,21125000.000000,33.075123,32.175442,5.201848,-51.966248,199875000.000000,21125000.000000,0.998728,0.998700,33.236549,24.536785,0.980680,0.999944,76.711098,15.267903,-13.878501,-28.083838,-1.894213,-3.952933,0.952945,0.988212,-0.047055,-0.011788,-148.823750,0.672719,33.865871,32.361103,5.333201,-54.299622,199875000.000000,24375000.000000,33.550724,32.373138,5.280851,-54.934246,199875000.000000,21125000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,18,628,28,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-8.960614,1.000000,1.000000,35,0.000875,0.672719,0,18,14400,0,6,1,-8.960614,-8.960614,1.000000,1.000000,1.000000,nan,nan,0.672719,33.715916,32.738148,5.308291,-52.990067,199875000.000000,19500000.000000,33.118908,32.272705,5.209121,-50.993526,199875000.000000,19500000.000000,34.103855,33.017853,5.372734,-52.871334,199875000.000000,24375000.000000,33.643818,32.734428,5.296315,-51.936543,199875000.000000,24375000.000000,0.998838,0.998828,30.960239,22.193264,0.984121,0.999954,71.108498,15.216148,-14.724298,-28.060011,-3.423929,-3.912157,0.957445,0.987951,-0.042555,-0.012049,-148.823750,0.672719,33.563316,32.490303,5.282943,-55.093040,199875000.000000,19500000.000000,34.086098,32.882683,5.369784,-55.594406,199875000.000000,24375000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,19,629,29,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-8.960614,1.000000,1.000000,35,0.000875,0.672719,0,19,15200,0,6,1,-8.960614,-8.960614,1.000000,1.000000,1.000000,nan,nan,0.672719,33.801128,33.054420,5.322447,-50.035477,199875000.000000,19500000.000000,33.084808,32.368759,5.203456,-50.258549,199875000.000000,19500000.000000,33.988533,33.031368,5.353577,-51.132381,199875000.000000,24375000.000000,33.905811,32.797550,5.339836,-51.557339,199875000.000000,24375000.000000,0.998930,0.998942,29.713570,24.434488,0.975990,0.999945,86.311905,14.821562,-12.956235,-28.403419,-2.874162,-4.390025,0.950135,0.988653,-0.049865,-0.011347,-148.823750,0.672719,33.599915,32.674057,5.289022,-52.968498,199875000.000000,19500000.000000,34.193920,32.923859,5.387695,-54.293091,199875000.000000,24375000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,20,630,30,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-8.960614,1.000000,1.000000,35,0.000875,0.672719,0,20,16000,0,6,1,-8.960614,-8.960614,1.000000,1.000000,1.000000,nan,nan,0.672719,33.939251,33.087086,5.345391,-52.294785,199875000.000000,22750000.000000,33.683800,32.813637,5.302957,-49.633213,199875000.000000,22750000.000000,33.716122,32.529099,5.308326,-50.685894,199875000.000000,24375000.000000,33.497559,32.371582,5.272020,-52.517174,199875000.000000,24375000.000000,0.998466,0.998423,21.813717,22.149790,0.982328,0.999958,74.694664,14.647980,-14.263986,-28.103958,-2.650683,-4.403496,0.955091,0.987967,-0.044909,-0.012033,-148.823750,0.672719,33.960480,32.919098,5.348917,-53.513779,199875000.000000,22750000.000000,33.806957,32.463051,5.323415,-54.962574,199875000.000000,24375000.000000,nan,nan,nan,nan,1,none
