stage,iteration,accepted_frames,rejected_frames,raw_batch_residual,filtered_batch_residual,correction_before,correction_after,correction_delta,residual_std,residual_min,residual_max,tolerance,pass_count,required_passes,status,sndr_db,enob_bits
offset,1,30,0,7.341720,7.341720,0.000000,-1.500000,-1.500000,5.379232,-2.943988,19.953512,1.000000,0,2,RUNNING,33.279099,5.235731,
offset,2,30,0,5.895512,6.763237,-1.500000,-3.000000,-1.500000,4.120838,-2.682738,15.101012,1.000000,0,2,RUNNING,33.377388,5.252058,
offset,3,30,0,4.330928,5.790314,-3.000000,-4.500000,-1.500000,4.653839,-4.926488,13.993512,1.000000,0,2,RUNNING,33.371864,5.251140,
offset,4,30,0,4.429220,5.245876,-4.500000,-6.000000,-1.500000,4.878815,-6.227738,13.333512,1.000000,0,2,RUNNING,33.432461,5.261206,
offset,5,30,0,1.632845,3.800664,-6.000000,-7.330233,-1.330233,4.643707,-10.851488,9.482262,1.000000,0,2,RUNNING,33.501408,5.272658,
offset,6,30,0,0.738762,2.575903,-7.330233,-8.231799,-0.901567,3.940098,-7.490238,7.707262,1.000000,0,2,RUNNING,33.429985,5.260796,
offset,7,30,0,1.341970,2.082330,-8.231799,-8.960614,-0.728815,4.740246,-6.237738,12.793511,1.000000,0,2,RUNNING,33.394859,5.254960,
offset,8,30,0,-1.987613,0.454353,-8.960614,-8.960614,0.000000,6.392132,-11.057738,11.866012,1.000000,1,2,PASS,33.306870,5.240344,
offset,9,30,0,-1.550780,-0.347700,-8.960614,-8.960614,0.000000,4.863296,-12.335238,6.206012,1.000000,2,2,PASS,33.335697,5.245132,
