stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,integer_lag_samples,fractional_lag_samples,total_lag_samples,correlation,expected_tone_frequency_hz,fitted_tone_frequency_hz,tone_frequency_error_hz,tone_rmse_codes,tone_correlation,dither_valid,dither_peak,dither_lag_samples,selected_dac_adc_ratio,selected_as_reference,sndr_db,enob_bits
timing,calibration,0,1,1,1,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,nan,6.000000,-0.104144,5.895855,0.998771,199606299.212598,199606299.212598,0.000000,17.434225,0.998859,1,0.671583,13.039805,2.000000,0,32.878578,5.169199,
timing,calibration,0,1,2,2,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,nan,-5.000000,0.078844,-4.921156,0.998708,199606299.212598,199606299.212598,0.000000,18.840061,0.998718,1,0.527673,47.385875,2.000000,0,33.273499,5.234800,
timing,calibration,0,1,3,3,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,nan,8.000000,-0.024998,7.975002,0.998662,199606299.212598,199606299.212598,0.000000,19.606306,0.998677,1,0.612338,-32.765393,2.000000,0,33.311081,5.241043,
timing,calibration,0,1,4,4,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,nan,3.000000,-0.023763,2.976237,0.998572,199606299.212598,199606299.212598,0.000000,20.231295,0.998593,1,0.577219,496.195727,2.000000,0,33.139854,5.212600,
timing,calibration,0,1,5,5,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,nan,3.000000,0.019085,3.019085,0.999034,199606299.212598,199606299.212598,0.000000,16.529076,0.999039,1,0.691455,152.148210,2.000000,0,33.106709,5.207094,
timing,calibration,0,1,6,6,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,nan,-1.000000,0.067954,-0.932046,0.998687,199606299.212598,199606299.212598,0.000000,19.543413,0.998611,1,0.610468,11.289394,2.000000,1,33.232243,5.227947,
timing,calibration,0,1,7,7,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,nan,-6.000000,0.092461,-5.907538,0.998717,199606299.212598,199606299.212598,0.000000,18.611013,0.998732,1,0.647417,246.595824,2.000000,0,33.575012,5.284886,
timing,calibration,0,1,8,8,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,nan,-4.000000,-0.039907,-4.039907,0.998637,199606299.212598,199606299.212598,0.000000,19.586374,0.998662,1,0.620962,19.398345,2.000000,0,33.009354,5.190923,
timing,calibration,0,1,9,9,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,nan,-2.000000,0.025765,-1.974235,0.998693,199606299.212598,199606299.212598,0.000000,19.333353,0.998710,1,0.551056,296.621348,2.000000,0,33.462189,5.266144,
timing,calibration,0,1,10,10,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,nan,5.000000,-0.069551,4.930449,0.999087,199606299.212598,199606299.212598,0.000000,15.680021,0.999123,1,0.609055,105.468110,2.000000,0,33.232327,5.227961,
