stage,iteration,accepted_frames,rejected_frames,batch_gain,batch_gain_error,gain_correction_before,gain_correction_after,gain_correction_delta,tolerance,pass_count,required_passes,verification_correlation,dither_gain,dither_gain_status,dither_event_count,dither_warning_reason,status,sndr_db,enob_bits
gain,1,30,0,1.006384,0.006384,1.000000,1.000000,0.000000,0.010000,1,2,0.998646,0.465835,WARNING,6,FIT_QUALITY,PASS,33.270107,5.234238,
gain,2,30,0,1.008173,0.008173,1.000000,1.000000,0.000000,0.010000,2,2,0.998598,0.460470,WARNING,6,FIT_QUALITY,PASS,33.413742,5.258097,
