stage,iteration,accepted_frames,rejected_frames,batch_gain,batch_gain_error,gain_correction_before,gain_correction_after,gain_correction_delta,tolerance,pass_count,required_passes,verification_correlation,dither_gain,dither_gain_status,dither_event_count,dither_warning_reason,status,sndr_db,enob_bits
gain,1,30,0,1.022620,0.022620,1.000000,0.994470,-0.005530,0.010000,0,2,0.999264,0.465044,WARNING,5,FIT_QUALITY,RUNNING,38.745831,6.143826,
gain,2,30,0,1.017780,0.017780,0.994470,0.990127,-0.004343,0.010000,0,2,0.999299,0.453700,WARNING,6,FIT_QUALITY,RUNNING,38.686962,6.134047,
gain,3,30,0,1.005083,0.005083,0.990127,0.989376,-0.000751,0.010000,0,2,0.999154,0.467482,WARNING,6,FIT_QUALITY,RUNNING,38.747974,6.144182,
gain,4,30,0,1.008641,0.008641,0.989376,0.988104,-0.001271,0.010000,0,2,0.999197,0.454010,WARNING,6,FIT_QUALITY,RUNNING,38.671120,6.131416,
gain,5,30,0,1.009608,0.009608,0.988104,0.986694,-0.001411,0.010000,0,2,0.999242,0.471611,WARNING,6,FIT_QUALITY,RUNNING,38.735310,6.142079,
gain,6,30,0,1.012655,0.012655,0.986694,0.984844,-0.001850,0.010000,0,2,0.999367,0.472328,WARNING,5,FIT_QUALITY,RUNNING,38.835129,6.158660,
gain,7,30,0,0.994365,-0.005635,0.984844,0.985681,0.000837,0.010000,0,2,0.998975,0.442206,WARNING,5,FIT_QUALITY,RUNNING,38.763866,6.146822,
gain,8,30,0,0.999610,-0.000390,0.985681,0.985681,0.000000,0.010000,1,2,0.999096,0.467454,WARNING,6,FIT_QUALITY,PASS,38.646996,6.127409,
gain,9,30,0,1.007239,0.007239,0.985681,0.985681,0.000000,0.010000,2,2,0.999232,0.471162,WARNING,6,FIT_QUALITY,PASS,38.601540,6.119857,
