stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_gain,gain_error,correlation,rmse_codes,dither_gain,dither_valid,dither_reason,sndr_db,enob_bits
gain,calibration,1,1,1,381,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.566683,1.000000,nan,1.000000,0.987916,-0.012084,0.998472,21.373743,0.565934,1,FIT_QUALITY,38.093510,6.035467,
gain,calibration,1,1,2,382,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.566683,1.000000,nan,1.000000,1.041764,0.041764,0.999658,14.057617,0.425624,1,FIT_QUALITY,39.220062,6.222602,
gain,calibration,1,1,3,383,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.566683,1.000000,nan,1.000000,1.040133,0.040133,0.999543,15.024310,0.545021,1,FIT_QUALITY,39.237408,6.225483,
gain,calibration,1,1,4,384,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.566683,1.000000,nan,1.000000,1.005839,0.005839,0.999048,17.277672,0.478502,1,FIT_QUALITY,38.895885,6.168752,
gain,calibration,1,1,5,385,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.566683,1.000000,nan,1.000000,1.045154,0.045154,0.999682,13.796875,0.521905,1,FIT_QUALITY,39.006989,6.187208,
gain,calibration,1,1,6,386,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.566683,1.000000,nan,1.000000,1.034680,0.034680,0.999563,12.940301,0.478057,1,FIT_QUALITY,38.801147,6.153015,
gain,calibration,1,1,7,387,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.566683,1.000000,nan,1.000000,0.996634,-0.003366,0.998556,21.059317,0.575306,1,FIT_QUALITY,38.640682,6.126359,
gain,calibration,1,1,8,388,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.566683,1.000000,nan,1.000000,1.039816,0.039816,0.999499,14.185534,0.441619,1,FIT_QUALITY,38.404823,6.087180,
gain,calibration,1,1,9,389,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.566683,1.000000,nan,1.000000,1.048956,0.048956,0.999661,13.263756,0.457683,1,FIT_QUALITY,38.642254,6.126621,
gain,calibration,1,1,10,390,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.566683,1.000000,nan,1.000000,1.033377,0.033377,0.999488,14.469092,0.387683,1,FIT_QUALITY,39.228603,6.224021,
gain,calibration,1,1,11,391,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.566683,1.000000,nan,1.000000,1.027936,0.027936,0.999554,12.002383,nan,0,POLARITY_IMBALANCE,38.915676,6.172040,
