stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_offset_residual_codes,fit_offset_codes,correlation,rmse_codes,filtered_residual_at_iteration_start,tolerance_codes
offset,calibration,1,1,29,69,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,5.021550,5.067390,0.999298,14.835103,nan,1.000000
offset,calibration,1,1,30,70,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,0.000000,1.000000,nan,1.000000,-1.388450,-1.358292,0.999091,16.485743,nan,1.000000
offset,calibration,2,2,1,71,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,-16.404701,-16.386856,0.998905,17.749702,-2.906617,1.000000
offset,calibration,2,2,2,72,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,8.945299,8.955577,0.998591,19.905258,-2.906617,1.000000
offset,calibration,2,2,3,73,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,0.137800,0.157894,0.998900,17.852737,-2.906617,1.000000
offset,calibration,2,2,4,74,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,-7.094700,-7.077523,0.998788,18.661106,-2.906617,1.000000
offset,calibration,2,2,5,75,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,2.364050,2.386504,0.998951,17.498711,-2.906617,1.000000
offset,calibration,2,2,6,76,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,-9.855950,-9.826091,0.999108,16.323238,-2.906617,1.000000
offset,calibration,2,2,7,77,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,-13.693450,-13.654451,0.998994,17.574503,-2.906617,1.000000
offset,calibration,2,2,8,78,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,-2.573450,-2.534959,0.999146,16.181810,-2.906617,1.000000
offset,calibration,2,2,9,79,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,0.426550,0.426146,0.998692,18.850037,-2.906617,1.000000
offset,calibration,2,2,10,80,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,-6.513451,-6.474165,0.999072,16.891319,-2.906617,1.000000
offset,calibration,2,2,11,81,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,-2.893450,-2.886463,0.998880,17.649179,-2.906617,1.000000
offset,calibration,2,2,12,82,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,-9.315950,-9.284870,0.999119,16.247030,-2.906617,1.000000
offset,calibration,2,2,13,83,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,-9.557200,-9.529974,0.999059,16.696173,-2.906617,1.000000
offset,calibration,2,2,14,84,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,-8.824700,-8.788059,0.999289,14.717756,-2.906617,1.000000
offset,calibration,2,2,15,85,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,1.614050,1.620369,0.998791,18.315062,-2.906617,1.000000
offset,calibration,2,2,16,86,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,-5.504700,-5.486731,0.999011,16.870836,-2.906617,1.000000
offset,calibration,2,2,17,87,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,-1.275950,-1.259288,0.998899,17.770727,-2.906617,1.000000
offset,calibration,2,2,18,88,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,0.631550,0.636883,0.999001,16.625034,-2.906617,1.000000
offset,calibration,2,2,19,89,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,4.306550,4.339379,0.998815,18.898144,-2.906617,1.000000
offset,calibration,2,2,20,90,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,5.430300,5.471809,0.999073,16.934044,-2.906617,1.000000
offset,calibration,2,2,21,91,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,3.889050,3.929522,0.999219,15.515471,-2.906617,1.000000
offset,calibration,2,2,22,92,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,-8.225950,-8.195070,0.999116,16.272995,-2.906617,1.000000
offset,calibration,2,2,23,93,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,1.822800,1.860979,0.999067,16.908098,-2.906617,1.000000
offset,calibration,2,2,24,94,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,-2.962200,-2.918257,0.999205,15.743518,-2.906617,1.000000
offset,calibration,2,2,25,95,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,-0.402200,-0.385820,0.998990,17.012619,-2.906617,1.000000
offset,calibration,2,2,26,96,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,-2.454700,-2.444859,0.998878,17.740492,-2.906617,1.000000
offset,calibration,2,2,27,97,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,-0.072200,-0.047889,0.999155,15.749268,-2.906617,1.000000
offset,calibration,2,2,28,98,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,-8.444700,-8.428624,0.998978,17.098806,-2.906617,1.000000
offset,calibration,2,2,29,99,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,1.866550,1.867433,0.998858,17.648195,-2.906617,1.000000
offset,calibration,2,2,30,100,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,1.017316,1.000000,nan,1.000000,-4.880950,-4.845555,0.999149,16.071609,-2.906617,1.000000
offset,calibration,3,3,1,101,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,1.910300,1.951217,0.998991,17.657745,-2.937517,1.000000
offset,calibration,3,3,2,102,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,-3.414701,-3.390825,0.999034,16.830744,-2.937517,1.000000
offset,calibration,3,3,3,103,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,-6.547200,-6.540168,0.998979,16.848148,-2.937517,1.000000
offset,calibration,3,3,4,104,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,5.160300,5.190014,0.998891,18.197206,-2.937517,1.000000
offset,calibration,3,3,5,105,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,-4.523450,-4.524581,0.998898,17.276730,-2.937517,1.000000
offset,calibration,3,3,6,106,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,3.744050,3.786106,0.999097,16.729998,-2.937517,1.000000
offset,calibration,3,3,7,107,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,-7.777200,-7.748668,0.999025,17.027395,-2.937517,1.000000
offset,calibration,3,3,8,108,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,0.386550,0.421212,0.998721,19.694172,-2.937517,1.000000
offset,calibration,3,3,9,109,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,1.837800,1.856453,0.998929,17.580647,-2.937517,1.000000
offset,calibration,3,3,10,110,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,-0.483450,-0.460184,0.998944,17.578478,-2.937517,1.000000
offset,calibration,3,3,11,111,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,2.951550,2.984239,0.999101,16.455606,-2.937517,1.000000
offset,calibration,3,3,12,112,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,-4.234700,-4.208567,0.999050,16.748051,-2.937517,1.000000
offset,calibration,3,3,13,113,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,-14.099700,-14.065229,0.998991,17.484055,-2.937517,1.000000
offset,calibration,3,3,14,114,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,-11.312201,-11.277313,0.999132,16.226484,-2.937517,1.000000
offset,calibration,3,3,15,115,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,0.809050,0.852131,0.998944,18.120550,-2.937517,1.000000
offset,calibration,3,3,16,116,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,5.790299,5.791380,0.998849,17.725346,-2.937517,1.000000
offset,calibration,3,3,17,117,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,-1.849700,-1.818025,0.999082,16.604332,-2.937517,1.000000
offset,calibration,3,3,18,118,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,2.106550,2.130158,0.998956,17.490501,-2.937517,1.000000
offset,calibration,3,3,19,119,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,0.156550,0.177868,0.998999,17.064211,-2.937517,1.000000
offset,calibration,3,3,20,120,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,-5.108450,-5.098263,0.998504,20.504314,-2.937517,1.000000
offset,calibration,3,3,21,121,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,0.895300,0.922072,0.999073,16.554884,-2.937517,1.000000
offset,calibration,3,3,22,122,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,-12.005950,-12.004894,0.998789,18.180779,-2.937517,1.000000
offset,calibration,3,3,23,123,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,0.497800,0.533944,0.999134,16.238274,-2.937517,1.000000
offset,calibration,3,3,24,124,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,7.056550,7.065456,0.998996,16.759789,-2.937517,1.000000
offset,calibration,3,3,25,125,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,8.021549,8.053093,0.999065,16.755350,-2.937517,1.000000
offset,calibration,3,3,26,126,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,-14.570951,-14.527693,0.998815,19.204952,-2.937517,1.000000
offset,calibration,3,3,27,127,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,-6.973450,-6.944656,0.999195,15.478004,-2.937517,1.000000
