stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_offset_residual_codes,fit_offset_codes,correlation,rmse_codes,filtered_residual_at_iteration_start,tolerance_codes,sndr_db,enob_bits
offset,calibration,1,1,1,41,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,-8.508248,-8.535426,0.998976,17.591141,nan,1.000000,41.870773,6.662920,
offset,calibration,1,1,2,42,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,-11.621999,-11.645843,0.999238,15.273018,nan,1.000000,42.700886,6.800812,
offset,calibration,1,1,3,43,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,-12.908249,-12.902616,0.999942,4.463396,nan,1.000000,41.794678,6.650279,
offset,calibration,1,1,4,44,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,-0.391999,-0.424456,0.998275,22.601414,nan,1.000000,41.778961,6.647668,
offset,calibration,1,1,5,45,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,4.069251,4.061354,0.999815,7.752718,nan,1.000000,41.883957,6.665110,
offset,calibration,1,1,6,46,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,-13.724499,-13.725451,0.999916,5.295784,nan,1.000000,42.210232,6.719308,
offset,calibration,1,1,7,47,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,-0.128249,-0.146953,0.999429,13.358109,nan,1.000000,42.067364,6.695576,
offset,calibration,1,1,8,48,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,2.783001,2.768344,0.999660,10.389091,nan,1.000000,42.647758,6.791987,
offset,calibration,1,1,9,49,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,-5.228249,-5.255038,0.999056,16.902895,nan,1.000000,40.928238,6.506352,
offset,calibration,1,1,10,50,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,-8.119498,-8.133482,0.999630,10.849666,nan,1.000000,42.160461,6.711040,
offset,calibration,1,1,11,51,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,-8.455749,-8.459888,0.999893,5.935070,nan,1.000000,42.657722,6.793642,
