state,amplitude_lsb,pct_dac_fs,json,frames,aligned,rep_pp_a,rep_pp_b,rep_pp_a_frame,mag_a,mag_b,peak_a,fwhm_a,slope_a,gain_mag,gain_mag_sd,gain_fold,gain_fold_sd,dc_codes,dc_sd,dt_phase,dt_phase_sd,dt_fold,dt_fold_sd,snr_dither,dbc_ab,margin
off,16000,48.83,waveforms\pulse_ladder\w06adc_e04_t04_amp16000.json,300,300,369.8070238095238,370.5747023809523,369.8070238095238,369.8070238095238,370.5747023809524,281.7815178571428,3.719620316423152,228.90547619047624,1.002096735502473,0.0056195266763249775,1.002096735502473,0.005619526676324978,-3.1272973856209147,0.7582937457111941,-187.1145200700147,12.470992461164597,-71.34124632343894,2.6993490725007168,6.791216787718282,-14.779096028955967,16.931676312717308
on,16000,48.83,waveforms\pulse_ladder\w06adc_e04_t04_amp16000.json,300,300,369.9286309523809,346.05619047619035,369.92863095238096,369.92863095238096,346.05619047619047,281.94639880952377,3.718605460047012,228.53428571428574,0.9354859254001003,0.005451969099686227,0.9354859254001003,0.0054519690996862255,-6.644816993464053,0.7542632398233561,-189.20313344632498,10.886411332076708,-54.201716427954686,2.866002227132399,6.834232394346045,-13.990495658657267,16.965156199975958
