stage,iteration,accepted_frames,rejected_frames,batch_gain,batch_gain_error,gain_correction_before,gain_correction_after,gain_correction_delta,tolerance,pass_count,required_passes,verification_correlation,dither_gain,dither_gain_status,dither_event_count,dither_warning_reason,status,sndr_db,enob_bits
gain,1,30,0,1.002191,0.002191,1.000000,1.000000,0.000000,0.010000,1,2,0.998735,0.454199,WARNING,6,FIT_QUALITY,PASS,33.513630,5.274690,
gain,2,30,0,1.003348,0.003348,1.000000,1.000000,0.000000,0.010000,2,2,0.998764,0.451327,WARNING,6,FIT_QUALITY,PASS,33.549740,5.280687,
