stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,correlation,selected_adc_mean_codes,channel_A_mean_codes,channel_B_mean_codes,channel_A_rms_codes,channel_B_rms_codes,stage5_raw_metrics_available,raw_A_sndr_db,raw_A_sfdr_db,raw_A_enob,raw_A_thd_db,raw_A_signal_hz,raw_A_worst_spur_hz,raw_B_sndr_db,raw_B_sfdr_db,raw_B_enob,raw_B_thd_db,raw_B_signal_hz,raw_B_worst_spur_hz,raw_parallel_avg_sndr_db,raw_parallel_avg_sfdr_db,raw_parallel_avg_enob,raw_parallel_avg_thd_db,raw_parallel_avg_signal_hz,raw_parallel_avg_worst_spur_hz,raw_AB_matching_valid,raw_AB_correlation,raw_AB_rmse_codes,raw_AB_residual_dbc,raw_offset_mismatch_codes,raw_gain_ratio_B_over_A,raw_gain_mismatch,raw_skew_mismatch_samples,raw_skew_mismatch_ps
baseline,baseline,0,1,1,11,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998656,2.976250,-1.301191,2.969138,396.673048,382.891098,1,33.967796,32.732811,5.350132,-51.086933,199875000.000000,24375000.000000,33.471653,32.342747,5.267716,-51.661026,199875000.000000,24375000.000000,33.918167,32.518051,5.341888,-54.142166,199875000.000000,24375000.000000,1,0.988175,61.520870,-16.037195,-1.667946,0.965232,-0.034768,-0.191710,-147.469013
baseline,baseline,0,1,2,12,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998750,12.708750,-10.968694,12.717761,398.947455,383.698935,1,33.598919,32.781006,5.288857,-50.489239,199875000.000000,19500000.000000,33.309208,32.540138,5.240732,-51.493969,199875000.000000,19500000.000000,33.629433,32.639206,5.293926,-53.177208,199875000.000000,19500000.000000,1,0.987149,64.561104,-15.648941,-1.749067,0.961613,-0.038387,-0.191710,-147.469013
baseline,baseline,0,1,3,13,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998693,8.811250,-6.627699,8.838497,391.600095,372.629445,1,33.207321,32.575542,5.223807,-52.380947,199875000.000000,21125000.000000,33.240509,32.393951,5.229321,-52.377686,199875000.000000,19500000.000000,33.391285,32.513229,5.254366,-56.075558,199875000.000000,21125000.000000,1,0.977514,83.223991,-13.239767,-2.210798,0.951425,-0.048575,-0.191710,-147.469013
baseline,baseline,0,1,4,14,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998262,11.132500,-7.629465,11.181321,396.736089,378.765184,1,33.327053,32.669945,5.243697,-50.749756,199875000.000000,19500000.000000,33.041607,32.434216,5.196280,-48.985146,199875000.000000,19500000.000000,33.373966,32.518913,5.251489,-52.103920,199875000.000000,19500000.000000,1,0.981323,77.127037,-14.026604,-3.551856,0.954464,-0.045536,-0.191710,-147.469013
baseline,baseline,0,1,5,15,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998790,12.082500,-9.488178,12.079800,396.951448,382.869208,1,33.859097,32.871548,5.332076,-52.068405,199875000.000000,24375000.000000,33.883785,32.972645,5.336177,-52.130917,199875000.000000,24375000.000000,34.071751,32.913506,5.367401,-54.465603,199875000.000000,24375000.000000,1,0.988412,61.047749,-16.103947,-2.591621,0.964319,-0.035681,-0.191710,-147.469013
baseline,baseline,0,1,6,16,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.999140,0.708750,0.967864,0.724969,396.464451,382.487278,1,33.758064,32.752811,5.315293,-51.912964,199875000.000000,19500000.000000,33.168594,32.296162,5.217374,-52.273373,199875000.000000,19500000.000000,33.694668,32.524704,5.304762,-56.255463,199875000.000000,19500000.000000,1,0.988626,60.395580,-16.190886,-1.692833,0.964747,-0.035253,-0.191710,-147.469013
baseline,baseline,0,1,7,17,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998739,14.722500,-10.813103,14.669440,395.455766,377.096144,1,33.472153,32.910938,5.267799,-51.456669,199875000.000000,19500000.000000,32.892006,32.055027,5.171430,-50.195763,199875000.000000,19500000.000000,33.361767,32.449562,5.249463,-53.580040,199875000.000000,19500000.000000,1,0.980208,79.078133,-13.774445,-3.856337,0.953208,-0.046792,-0.191710,-147.469013
baseline,baseline,0,1,8,18,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998664,3.018750,0.297162,3.095526,400.417933,384.615767,1,33.824512,32.851364,5.326331,-50.017551,199875000.000000,24375000.000000,33.911533,32.795341,5.340786,-50.320763,199875000.000000,24375000.000000,34.067524,32.806072,5.366699,-52.690479,199875000.000000,24375000.000000,1,0.986007,67.613785,-15.278084,-3.392688,0.960505,-0.039495,-0.191710,-147.469013
baseline,baseline,0,1,9,19,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.998768,3.941250,-1.669348,3.970996,399.225276,381.605284,1,33.473141,32.609867,5.267963,-50.631306,199875000.000000,19500000.000000,33.115990,32.506470,5.208636,-52.087612,199875000.000000,19500000.000000,33.473526,32.529900,5.268028,-55.461826,199875000.000000,19500000.000000,1,0.983156,73.812469,-14.469888,-2.301648,0.955821,-0.044179,-0.191710,-147.469013
baseline,baseline,0,1,10,20,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,0.000000,1.000000,nan,1.000000,0.999076,3.653750,0.362366,3.652481,397.003375,379.000202,1,33.409996,32.586136,5.257474,-51.945286,199875000.000000,19500000.000000,33.195366,31.988085,5.221822,-51.115761,199875000.000000,19500000.000000,33.476353,32.254566,5.268497,-54.070271,199875000.000000,19500000.000000,1,0.981629,76.608887,-14.093234,-4.014847,0.954608,-0.045392,-0.191710,-147.469013
