stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,raw_baseline_global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,final_offset_correction_codes,final_gain_correction,active_polarity,final_delay_register,final_skew_samples,final_skew_ps,controller_iteration,analysis_iteration,cycles,rotation,events_used,align_n0,offset_a_codes,offset_b_codes,gain_a_codes,gain_b_codes,gain_ratio,skew_a_ps,skew_b_ps,skew_mismatch_ps,raw_a_sndr_db,raw_a_sfdr_db,raw_a_enob,raw_a_thd_db,raw_a_signal_hz,raw_a_worst_spur_hz,raw_b_sndr_db,raw_b_sfdr_db,raw_b_enob,raw_b_thd_db,raw_b_signal_hz,raw_b_worst_spur_hz,cal_a_sndr_db,cal_a_sfdr_db,cal_a_enob,cal_a_thd_db,cal_a_signal_hz,cal_a_worst_spur_hz,cal_b_sndr_db,cal_b_sfdr_db,cal_b_enob,cal_b_thd_db,cal_b_signal_hz,cal_b_worst_spur_hz,A_correlation,B_correlation,A_RMSE_codes,B_RMSE_codes,raw_ab_correlation,cal_ab_correlation,raw_ab_rmse_codes,cal_ab_rmse_codes,raw_ab_residual_dbc,cal_ab_residual_dbc,raw_offset_mismatch_codes,cal_offset_mismatch_codes,raw_gain_ratio_b_over_a,cal_gain_ratio_b_over_a,raw_gain_mismatch,cal_gain_mismatch,raw_skew_mismatch_ps,cal_skew_mismatch_ps,raw_parallel_avg_sndr_db,raw_parallel_avg_sfdr_db,raw_parallel_avg_enob,raw_parallel_avg_thd_db,raw_parallel_avg_signal_hz,raw_parallel_avg_worst_spur_hz,cal_parallel_avg_sndr_db,cal_parallel_avg_sfdr_db,cal_parallel_avg_enob,cal_parallel_avg_thd_db,cal_parallel_avg_signal_hz,cal_parallel_avg_worst_spur_hz,raw_offset_spur_dbc,raw_image_spur_dbc,cal_offset_spur_dbc,cal_image_spur_dbc,valid,rejection_reason
performance,performance,0,1,1,811,11,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,1.000000,35,0.001456,1.119824,0,1,800,0,6,1,-7.946225,-7.946225,1.000000,1.000000,1.000000,nan,nan,1.119824,33.967796,32.732811,5.350132,-51.086933,199875000.000000,24375000.000000,33.471653,32.342747,5.267716,-51.661026,199875000.000000,24375000.000000,33.545330,32.580647,5.279955,-52.493633,199875000.000000,19500000.000000,33.236992,32.547775,5.228736,-51.989197,199875000.000000,19500000.000000,0.998940,0.998884,20.637568,18.016129,0.988175,0.999952,61.520870,13.601483,-16.037195,-28.934664,-1.667946,-3.605604,0.965232,0.988282,-0.034768,-0.011718,-147.469013,1.119824,33.918167,32.518051,5.341888,-54.142166,199875000.000000,24375000.000000,33.593933,32.568996,5.288029,-55.846413,199875000.000000,19500000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,2,812,12,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,1.000000,35,0.001456,1.119824,0,2,1600,0,6,1,-7.946225,-7.946225,1.000000,1.000000,1.000000,nan,nan,1.119824,33.598919,32.781006,5.288857,-50.489239,199875000.000000,19500000.000000,33.309208,32.540138,5.240732,-51.493969,199875000.000000,19500000.000000,33.152222,32.334309,5.214655,-51.853786,199875000.000000,19500000.000000,32.970932,32.004765,5.184540,-51.625420,199875000.000000,19500000.000000,0.998698,0.998679,25.090462,19.967085,0.987149,0.999953,64.561104,13.046359,-15.648941,-29.251942,-1.749067,-4.226770,0.961613,0.988054,-0.038387,-0.011946,-147.469013,1.119824,33.629433,32.639206,5.293926,-53.177208,199875000.000000,19500000.000000,33.247684,32.178215,5.230512,-54.353230,199875000.000000,19500000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,3,813,13,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,1.000000,35,0.001456,1.119824,0,3,2400,0,6,1,-7.946225,-7.946225,1.000000,1.000000,1.000000,nan,nan,1.119824,33.207321,32.575542,5.223807,-52.380947,199875000.000000,21125000.000000,33.240509,32.393951,5.229321,-52.377686,199875000.000000,19500000.000000,34.164509,32.851139,5.382809,-51.429749,199875000.000000,24375000.000000,34.043823,33.047318,5.362761,-52.026943,199875000.000000,24375000.000000,0.998546,0.998558,27.972450,21.998945,0.977514,0.999953,83.223991,12.083426,-13.239767,-29.929939,-2.210798,-5.384186,0.951425,0.987641,-0.048575,-0.012359,-147.469013,1.119824,33.391285,32.513229,5.254366,-56.075558,199875000.000000,21125000.000000,34.309242,32.958805,5.406851,-54.899620,199875000.000000,24375000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,4,814,14,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,1.000000,35,0.001456,1.119824,0,4,3200,0,6,1,-7.946225,-7.946225,1.000000,1.000000,1.000000,nan,nan,1.119824,33.327053,32.669945,5.243697,-50.749756,199875000.000000,19500000.000000,33.041607,32.434216,5.196280,-48.985146,199875000.000000,19500000.000000,33.662346,32.832272,5.299393,-51.727551,199875000.000000,19500000.000000,33.081913,32.557415,5.202976,-52.320049,199875000.000000,21125000.000000,0.998738,0.998674,20.486675,21.009483,0.981323,0.999944,77.127037,13.550139,-14.026604,-29.002552,-3.551856,-3.788677,0.954464,0.988172,-0.045536,-0.011828,-147.469013,1.119824,33.373966,32.518913,5.251489,-52.103920,199875000.000000,19500000.000000,33.570160,32.668568,5.284080,-56.303082,199875000.000000,19500000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,5,815,15,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,1.000000,35,0.001456,1.119824,0,5,4000,0,6,1,-7.946225,-7.946225,1.000000,1.000000,1.000000,nan,nan,1.119824,33.859097,32.871548,5.332076,-52.068405,199875000.000000,24375000.000000,33.883785,32.972645,5.336177,-52.130917,199875000.000000,24375000.000000,34.524921,33.087902,5.442678,-50.698750,199875000.000000,24375000.000000,33.648453,32.609863,5.297085,-51.125530,199875000.000000,24375000.000000,0.998731,0.998644,20.189152,20.946100,0.988412,0.999949,61.047749,11.295690,-16.103947,-30.579884,-2.591621,-6.320283,0.964319,0.988063,-0.035681,-0.011937,-147.469013,1.119824,34.071751,32.913506,5.367401,-54.465603,199875000.000000,24375000.000000,34.320454,32.859661,5.408713,-54.841721,199875000.000000,24375000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,6,816,16,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,1.000000,35,0.001456,1.119824,0,6,4800,0,6,1,-7.946225,-7.946225,1.000000,1.000000,1.000000,nan,nan,1.119824,33.758064,32.752811,5.315293,-51.912964,199875000.000000,19500000.000000,33.168594,32.296162,5.217374,-52.273373,199875000.000000,19500000.000000,33.940521,32.833103,5.345602,-52.350040,199875000.000000,24375000.000000,33.575554,32.152271,5.284976,-51.193386,199875000.000000,24375000.000000,0.998565,0.998519,27.342281,21.394981,0.988626,0.999955,60.395580,13.928672,-16.190886,-28.685612,-1.692833,-3.306103,0.964747,0.987511,-0.035253,-0.012489,-147.469013,1.119824,33.694668,32.524704,5.304762,-56.255463,199875000.000000,19500000.000000,33.979599,32.499622,5.352093,-55.327011,199875000.000000,24375000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,7,817,17,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,1.000000,35,0.001456,1.119824,0,7,5600,0,6,1,-7.946225,-7.946225,1.000000,1.000000,1.000000,nan,nan,1.119824,33.472153,32.910938,5.267799,-51.456669,199875000.000000,19500000.000000,32.892006,32.055027,5.171430,-50.195763,199875000.000000,19500000.000000,33.678257,32.474846,5.302036,-51.551048,199875000.000000,24375000.000000,33.670120,32.410744,5.300684,-51.139133,199875000.000000,24375000.000000,0.998482,0.998426,23.598099,21.278189,0.980208,0.999955,79.078133,13.027728,-13.774445,-29.288975,-3.856337,-4.251878,0.953208,0.987942,-0.046792,-0.012058,-147.469013,1.119824,33.361767,32.449562,5.249463,-53.580040,199875000.000000,19500000.000000,33.875504,32.449005,5.334802,-55.001114,199875000.000000,24375000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,8,818,18,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,1.000000,35,0.001456,1.119824,0,8,6400,0,6,1,-7.946225,-7.946225,1.000000,1.000000,1.000000,nan,nan,1.119824,33.824512,32.851364,5.326331,-50.017551,199875000.000000,24375000.000000,33.911533,32.795341,5.340786,-50.320763,199875000.000000,24375000.000000,33.217182,32.250206,5.225446,-52.893307,199875000.000000,19500000.000000,33.524738,32.936901,5.276535,-51.425831,199875000.000000,21125000.000000,0.998599,0.998593,23.982771,20.155582,0.986007,0.999945,67.613785,12.717056,-15.278084,-29.552917,-3.392688,-4.623428,0.960505,0.988704,-0.039495,-0.011296,-147.469013,1.119824,34.067524,32.806072,5.366699,-52.690479,199875000.000000,24375000.000000,33.568535,32.543987,5.283810,-54.759037,199875000.000000,19500000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,9,819,19,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,1.000000,35,0.001456,1.119824,0,9,7200,0,6,1,-7.946225,-7.946225,1.000000,1.000000,1.000000,nan,nan,1.119824,33.473141,32.609867,5.267963,-50.631306,199875000.000000,19500000.000000,33.115990,32.506470,5.208636,-52.087612,199875000.000000,19500000.000000,33.499588,32.909355,5.272357,-50.262287,199875000.000000,22750000.000000,33.562443,32.821766,5.282798,-51.581028,199875000.000000,22750000.000000,0.998540,0.998505,21.560652,21.641830,0.983156,0.999950,73.812469,13.565283,-14.469888,-28.925200,-2.301648,-3.854605,0.955821,0.986969,-0.044179,-0.013031,-147.469013,1.119824,33.473526,32.529900,5.268028,-55.461826,199875000.000000,19500000.000000,33.728809,32.869263,5.310433,-53.320480,199875000.000000,22750000.000000,nan,nan,nan,nan,1,none
performance,performance,0,1,10,820,20,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,1.000000,35,0.001456,1.119824,0,10,8000,0,6,1,-7.946225,-7.946225,1.000000,1.000000,1.000000,nan,nan,1.119824,33.409996,32.586136,5.257474,-51.945286,199875000.000000,19500000.000000,33.195366,31.988085,5.221822,-51.115761,199875000.000000,19500000.000000,33.303181,32.580116,5.239731,-53.253460,199875000.000000,19500000.000000,33.341724,32.302029,5.246134,-50.114460,199875000.000000,19500000.000000,0.998982,0.998972,25.803593,18.489269,0.981629,0.999949,76.608887,13.530577,-14.093234,-28.960690,-4.014847,-3.757500,0.954608,0.987988,-0.045392,-0.012012,-147.469013,1.119824,33.476353,32.254566,5.268497,-54.070271,199875000.000000,19500000.000000,33.524811,32.448719,5.276546,-55.297474,199875000.000000,19500000.000000,nan,nan,nan,nan,1,none
