stage,iteration,accepted_frames,rejected_frames,mean_skew_samples,mean_skew_ps,median_skew_samples,median_skew_ps,skew_std_samples,skew_std_ps,best_skew_samples,best_skew_ps,delay_register_before,delay_register_after,register_delta,actuator_resolution_samples_per_step,actuator_resolution_ps_per_step,requested_steps,applied_steps,tolerance_samples,tolerance_ps,consecutive_passes,required_passes,estimator_valid,estimator_stable,correction_applied,saturated,dither_skew_samples,dither_skew_ps,tone_dither_disagreement_ps,dither_valid_frames,dither_invalid_frames,status,tone_A_sndr_db,tone_A_enob_bits,tone_B_sndr_db,tone_B_enob_bits,dither_joint_valid,dither_joint_skew_ps,dither_joint_edge_disagreement_ps,dither_joint_tone_disagreement_ps
skew,1,10,0,-0.111999,-86.153009,-0.117700,-90.538291,0.013890,10.684514,-0.117700,-90.538291,29,32,3,0.020744,15.956754,3,3,0.010000,7.692308,0,2,1,1,1,0,nan,nan,nan,0,10,UPDATED,31.435366,4.929463,31.190730,4.888826,0,nan,nan,nan,
skew,2,10,0,-0.050288,-38.682720,-0.045645,-35.111746,0.007434,5.718336,-0.045645,-35.111746,32,33,1,0.020744,15.956754,1,1,0.010000,7.692308,0,2,1,1,1,0,nan,nan,nan,0,10,UPDATED,31.458118,4.933242,31.305604,4.907908,0,nan,nan,nan,
skew,3,10,0,-0.034405,-26.465353,-0.033380,-25.676702,0.004587,3.528738,-0.033380,-25.676702,33,34,1,0.020744,15.956754,1,1,0.010000,7.692308,0,2,1,1,1,0,nan,nan,nan,0,10,UPDATED,31.162420,4.884123,31.065787,4.868071,0,nan,nan,nan,
skew,4,10,0,-0.016873,-12.979503,-0.016136,-12.412655,0.002128,1.637254,-0.016136,-12.412655,34,35,1,0.020744,15.956754,1,1,0.010000,7.692308,0,2,1,1,1,0,nan,nan,nan,0,10,UPDATED,31.482435,4.937282,31.380288,4.920314,0,nan,nan,nan,
skew,5,10,0,0.001262,0.971033,0.001220,0.938730,0.000602,0.463094,0.001220,0.938730,35,35,0,0.020744,15.956754,0,0,0.010000,7.692308,1,2,1,1,0,0,nan,nan,nan,0,10,PASS,31.400674,4.923700,31.283379,4.904216,0,nan,nan,nan,
skew,6,10,0,0.001624,1.249024,0.001456,1.119824,0.000977,0.751206,0.001220,0.938730,35,35,0,0.020744,15.956754,0,0,0.010000,7.692308,2,2,1,1,0,0,nan,nan,nan,0,10,CONVERGED,31.397727,4.923211,31.278176,4.903352,0,nan,nan,nan,
