state,amplitude_lsb,pct_dac_fs,json,frames,aligned,rep_pp_a,rep_pp_b,rep_pp_a_frame,mag_a,mag_b,peak_a,fwhm_a,slope_a,gain_mag,gain_mag_sd,gain_fold,gain_fold_sd,dc_codes,dc_sd,dt_phase,dt_phase_sd,dt_fold,dt_fold_sd,snr_dither,dbc_ab,margin
16000,16000,48.83,waveforms\pulse_ladder\w06adc_e04_t04_amp16000.json,300,300,374.18773809523816,369.4275,374.3515476190476,374.3515476190476,369.5941666666667,284.77815476190483,3.681221110532162,211.5133928571429,0.9873062111627668,0.005018243084770759,0.9873062111627668,0.005018243084770761,-3.3832908496732026,0.7669445567060913,-0.12351667635117948,3.393614785015784,2.376109166983281,2.65785939832377,6.312933012324805,-37.34867349516812,16.59139791805477
24000,24000,73.24,waveforms\pulse_ladder\w06adc_e04_t04_amp24000.json,300,300,560.4622023809525,553.3486309523809,560.9602976190475,560.9602976190475,553.84625,426.5208630952382,3.6849344340831256,319.5054166666667,0.9873236715092999,0.0033487659280538266,0.9873236715092999,0.0033487659280538257,-2.7160392156862745,0.7369393121554281,-0.6775238311864972,2.2937085903636385,1.9784340779180032,1.7821664227204677,6.606771225707521,-38.972353519896416,16.581108219283117
30000,30000,91.56,waveforms\pulse_ladder\w06adc_e04_t04_amp30000.json,300,300,700.7268452380952,692.0500595238094,700.7268452380953,700.7268452380953,692.0500595238095,533.2069642857142,3.687426264160569,401.995119047619,0.9876229935098287,0.002860856141212237,0.9876229935098286,0.002860856141212242,-3.1714281045751638,0.8635879436379453,-0.2358460240566055,1.8889746652861512,2.1224073475989544,1.4322922019420476,6.758777928756658,-39.736668612150496,16.634036546976375
