amplitude_lsb,pct_dac_fs,json,frames,aligned,rep_pp_a,rep_pp_b,rep_pp_a_frame,mag_a,mag_b,peak_a,fwhm_a,slope_a,gain_mag,gain_mag_sd,gain_fold,gain_fold_sd,dc_codes,dc_sd,dt_phase,dt_phase_sd,dt_fold,dt_fold_sd,snr_dither,dbc_ab,margin
2000,2000,6.10,waveforms\pulse_ladder\w06adc_e04_t04_amp2000.json,200,200,49.118125000000006,46.73758928571429,51.11553571428571,53.67008928571428,52.469642857142865,37.251651785714294,3.5312440479349037,25.346517857142857,0.9763903067238866,0.03684069091545914,0.9269209769946084,0.08511143886174188,-1.275279411764706,0.8717258673550174,-167.20377086516544,68.78593069721336,-107.25387826756315,36.45153592700526,-2.0904236385894603,-15.589710999562168,16.384636401526333
8000,8000,24.41,waveforms\pulse_ladder\w06adc_e04_t04_amp8000.json,200,200,196.30232142857147,185.8100892857143,196.30232142857142,196.30892857142854,186.1474107142857,148.21044642857146,3.5782936684054145,92.84767857142857,0.9483367849789949,0.018058143873019822,0.9467279188181557,0.019230325747429992,-1.6931911764705883,0.8881378346425934,-150.57877374096367,27.69915057966374,-99.62108454828036,16.21649790061639,5.320300731919125,-18.768889780653605,16.945197357856514
16000,16000,48.83,waveforms\pulse_ladder\w06adc_e04_t04_amp16000.json,200,200,392.98875,371.5461607142857,392.98875,392.98875,371.61116071428575,296.78022321428574,3.5755771276934705,185.73133928571428,0.9456727796437424,0.01810759233974092,0.9455078655956259,0.01829410236691572,-1.8012843137254901,0.9254342190431851,-149.10691577274366,26.009216335804712,-98.69773520691213,15.261333000223464,6.87294391733555,-18.90101065361853,16.996107813233394
