stage,iteration,accepted_frames,rejected_frames,batch_gain,batch_gain_error,gain_correction_before,gain_correction_after,gain_correction_delta,tolerance,pass_count,required_passes,verification_correlation,dither_gain,dither_gain_status,dither_event_count,dither_warning_reason,status
gain,1,30,0,1.012689,0.012689,1.000000,0.998120,-0.001880,0.010000,0,2,0.998617,0.476140,WARNING,6,FIT_QUALITY,RUNNING
gain,2,30,0,1.010280,0.010280,0.998120,0.996597,-0.001523,0.010000,0,2,0.998649,0.480782,WARNING,6,NONE,RUNNING
gain,3,30,0,1.005557,0.005557,0.996597,0.995771,-0.000826,0.010000,0,2,0.998600,0.478617,WARNING,5,FIT_QUALITY,RUNNING
gain,4,30,0,1.008349,0.008349,0.995771,0.994534,-0.001237,0.010000,0,2,0.998662,0.475786,WARNING,6,FIT_QUALITY,RUNNING
gain,5,30,0,1.006004,0.006004,0.994534,0.994534,0.000000,0.010000,1,2,0.998610,0.479705,WARNING,5,FIT_QUALITY,PASS
gain,6,30,0,1.006039,0.006039,0.994534,0.994534,0.000000,0.010000,2,2,0.998646,0.472088,WARNING,6,FIT_QUALITY,PASS
