stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_offset_residual_codes,fit_offset_codes,correlation,rmse_codes,filtered_residual_at_iteration_start,tolerance_codes
offset,calibration,1,1,1,41,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,16.865459,16.915665,0.999012,17.097748,nan,1.000000
offset,calibration,1,1,2,42,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,5.854209,5.906824,0.999080,16.536417,nan,1.000000
offset,calibration,1,1,3,43,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,7.862959,7.891016,0.998872,17.876812,nan,1.000000
offset,calibration,1,1,4,44,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,3.944209,3.969520,0.998750,18.771791,nan,1.000000
offset,calibration,1,1,5,45,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,4.839209,4.842975,0.998865,17.509985,nan,1.000000
offset,calibration,1,1,6,46,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,8.799209,8.823754,0.998793,18.433819,nan,1.000000
offset,calibration,1,1,7,47,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,7.422959,7.472223,0.998886,18.135185,nan,1.000000
offset,calibration,1,1,8,48,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,8.965459,9.018194,0.999217,15.255201,nan,1.000000
offset,calibration,1,1,9,49,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,3.629209,3.697910,0.998950,17.933014,nan,1.000000
offset,calibration,1,1,10,50,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,5.764209,5.784918,0.998963,17.016027,nan,1.000000
offset,calibration,1,1,11,51,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,9.336709,9.393275,0.999085,16.551168,nan,1.000000
offset,calibration,1,1,12,52,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,9.742959,9.763800,0.998917,17.398157,nan,1.000000
offset,calibration,1,1,13,53,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,7.386709,7.448152,0.998901,18.225475,nan,1.000000
offset,calibration,1,1,14,54,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,16.240459,16.290178,0.999175,15.611452,nan,1.000000
offset,calibration,1,1,15,55,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,8.329209,8.362606,0.998921,17.577354,nan,1.000000
offset,calibration,1,1,16,56,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,6.630459,6.653368,0.998773,18.558933,nan,1.000000
offset,calibration,1,1,17,57,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,4.071709,4.130528,0.999015,17.204855,nan,1.000000
offset,calibration,1,1,18,58,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,17.774208,17.836618,0.999072,16.754623,nan,1.000000
offset,calibration,1,1,19,59,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,13.860459,13.910256,0.999010,17.102514,nan,1.000000
offset,calibration,1,1,20,60,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,4.761709,4.815393,0.999016,17.119917,nan,1.000000
offset,calibration,1,1,21,61,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,9.146708,9.195605,0.999398,13.323277,nan,1.000000
offset,calibration,1,1,22,62,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,10.084208,10.103840,0.998697,19.063950,nan,1.000000
offset,calibration,1,1,23,63,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.641709,0.701152,0.998992,17.416952,nan,1.000000
