stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_gain,gain_error,correlation,rmse_codes,dither_gain,dither_valid,dither_reason
gain,calibration,1,1,1,381,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.002153,0.002153,0.999039,17.025434,0.435057,1,NONE
gain,calibration,1,1,2,382,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.993650,-0.006350,0.998833,18.756964,0.406220,1,NONE
gain,calibration,1,1,3,383,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.991302,-0.008698,0.998906,18.242041,0.460023,1,NONE
gain,calibration,1,1,4,384,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.999163,-0.000837,0.999157,17.634478,0.404111,1,NONE
gain,calibration,1,1,5,385,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.998549,-0.001451,0.999135,16.913048,0.365708,1,NONE
gain,calibration,1,1,6,386,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.962582,-0.037418,0.998886,17.907009,0.424795,1,NONE
gain,calibration,1,1,7,387,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.011048,0.011048,0.999050,17.341131,0.386665,1,NONE
gain,calibration,1,1,8,388,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.015560,0.015560,0.999548,13.219589,0.366261,1,NONE
gain,calibration,1,1,9,389,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.014961,0.014961,0.999164,16.549891,0.431058,1,NONE
gain,calibration,1,1,10,390,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.995851,-0.004149,0.999123,17.969236,0.466492,1,NONE
gain,calibration,1,1,11,391,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.997781,-0.002219,0.999094,16.789202,0.408466,1,NONE
gain,calibration,1,1,12,392,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.962084,-0.037916,0.998912,18.467627,0.393526,1,FIT_QUALITY
gain,calibration,1,1,13,393,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.007658,0.007658,0.999026,17.240891,0.420984,1,NONE
gain,calibration,1,1,14,394,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.999339,-0.000661,0.999185,18.633074,0.431062,1,NONE
gain,calibration,1,1,15,395,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.000262,0.000262,0.999113,17.528183,0.384815,1,NONE
gain,calibration,1,1,16,396,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.961074,-0.038926,0.999006,18.282852,0.420888,1,NONE
gain,calibration,1,1,17,397,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.973114,-0.026886,0.999231,15.011936,0.339268,1,FIT_QUALITY
gain,calibration,1,1,18,398,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.007567,0.007567,0.999096,16.809589,0.361475,1,FIT_QUALITY
gain,calibration,1,1,19,399,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.001206,0.001206,0.999077,17.267450,0.387226,1,NONE
gain,calibration,1,1,20,400,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.982232,-0.017768,0.998851,18.697456,0.409057,1,NONE
gain,calibration,1,1,21,401,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.998217,-0.001783,0.999052,16.926565,0.369964,1,FIT_QUALITY
gain,calibration,1,1,22,402,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.972594,-0.027406,0.998854,19.236292,0.352984,1,FIT_QUALITY
gain,calibration,1,1,23,403,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.996789,-0.003211,0.999173,15.910714,0.402156,1,NONE
gain,calibration,1,1,24,404,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.008935,0.008935,0.999051,17.041466,0.361043,1,FIT_QUALITY
gain,calibration,1,1,25,405,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.011155,0.011155,0.999134,17.709341,0.363897,1,NONE
gain,calibration,1,1,26,406,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.006874,0.006874,0.999115,17.162668,0.357905,1,FIT_QUALITY
gain,calibration,1,1,27,407,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.978115,-0.021885,0.999124,15.934489,0.351602,1,FIT_QUALITY
gain,calibration,1,1,28,408,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.003661,0.003661,0.999288,14.669359,0.427296,1,FIT_QUALITY
gain,calibration,1,1,29,409,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.972616,-0.027384,0.998787,18.983946,0.414954,1,FIT_QUALITY
gain,calibration,1,1,30,410,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.999891,-0.000109,0.999342,14.302916,0.370240,1,NONE
gain,calibration,2,2,1,411,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.959543,-0.040457,0.998939,17.705246,0.396826,1,NONE
gain,calibration,2,2,2,412,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.003654,0.003654,0.998843,19.184080,0.455841,1,NONE
gain,calibration,2,2,3,413,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.962819,-0.037181,0.998848,19.135899,0.389391,1,NONE
gain,calibration,2,2,4,414,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.988641,-0.011359,0.999050,16.737017,0.402685,1,NONE
gain,calibration,2,2,5,415,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.961041,-0.038959,0.998835,18.635271,0.376373,1,NONE
gain,calibration,2,2,6,416,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.011702,0.011702,0.998810,20.426310,0.372120,1,FIT_QUALITY
gain,calibration,2,2,7,417,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.005014,0.005014,0.998981,19.342800,0.407419,1,NONE
gain,calibration,2,2,8,418,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.991546,-0.008454,0.998959,18.332098,0.443846,1,NONE
gain,calibration,2,2,9,419,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.992679,-0.007321,0.998864,22.947920,0.324072,1,FIT_QUALITY
gain,calibration,2,2,10,420,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.004635,0.004635,0.999107,16.890007,0.375034,1,FIT_QUALITY
gain,calibration,2,2,11,421,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.990454,-0.009546,0.998888,18.464819,0.424916,1,NONE
gain,calibration,2,2,12,422,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.957752,-0.042248,0.998853,18.343662,0.433236,1,NONE
gain,calibration,2,2,13,423,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.956310,-0.043690,0.998793,18.478069,0.413852,1,FIT_QUALITY
gain,calibration,2,2,14,424,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.004272,0.004272,0.999116,16.492065,0.381899,1,NONE
gain,calibration,2,2,15,425,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.980117,-0.019883,0.998755,19.208765,0.365211,1,FIT_QUALITY
gain,calibration,2,2,16,426,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.003602,0.003602,0.999156,16.358116,0.410047,1,NONE
gain,calibration,2,2,17,427,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.985678,-0.014322,0.999041,17.969149,0.394447,1,NONE
gain,calibration,2,2,18,428,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.980698,-0.019302,0.999205,16.053061,0.389304,1,NONE
gain,calibration,2,2,19,429,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.003971,0.003971,0.999167,16.034044,0.421479,1,NONE
gain,calibration,2,2,20,430,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.993199,-0.006801,0.998867,18.497072,0.480137,1,NONE
gain,calibration,2,2,21,431,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.012945,0.012945,0.999086,19.719784,0.428690,1,NONE
gain,calibration,2,2,22,432,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.008872,0.008872,0.999164,18.329449,0.513954,1,FIT_QUALITY
gain,calibration,2,2,23,433,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.995506,-0.004494,0.999180,17.603121,0.396893,1,NONE
gain,calibration,2,2,24,434,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.954189,-0.045811,0.998894,18.654594,0.394703,1,NONE
gain,calibration,2,2,25,435,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.963281,-0.036719,0.998707,20.390022,0.390567,1,NONE
gain,calibration,2,2,26,436,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.996924,-0.003076,0.998832,18.772156,0.501256,1,NONE
gain,calibration,2,2,27,437,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.011643,0.011643,0.998997,18.070017,0.364173,1,FIT_QUALITY
gain,calibration,2,2,28,438,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.984540,-0.015460,0.998886,18.227236,0.421615,1,NONE
gain,calibration,2,2,29,439,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,1.008508,0.008508,0.999032,18.809441,0.356955,1,FIT_QUALITY
gain,calibration,2,2,30,440,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.000000,nan,1.000000,0.989933,-0.010067,0.999102,16.801598,0.404835,1,NONE
gain,calibration,3,3,1,441,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.999682,-0.000318,0.999103,18.521027,0.385778,1,FIT_QUALITY
gain,calibration,3,3,2,442,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.000565,0.000565,0.998899,18.711525,0.468985,1,NONE
gain,calibration,3,3,3,443,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.009220,0.009220,0.999191,16.471987,0.463697,1,NONE
gain,calibration,3,3,4,444,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.998869,-0.001131,0.999161,17.817907,0.398869,1,NONE
gain,calibration,3,3,5,445,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.972385,-0.027615,0.998913,17.711542,0.433399,1,NONE
gain,calibration,3,3,6,446,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.981704,-0.018296,0.999078,16.566423,0.419894,1,NONE
gain,calibration,3,3,7,447,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.000273,0.000273,0.999061,17.518957,0.364290,1,FIT_QUALITY
gain,calibration,3,3,8,448,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.976359,-0.023641,0.999046,19.448719,0.453338,1,NONE
gain,calibration,3,3,9,449,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.006095,0.006095,0.999026,17.373709,0.365024,1,FIT_QUALITY
gain,calibration,3,3,10,450,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.953808,-0.046192,0.998702,19.822206,0.385754,1,FIT_QUALITY
gain,calibration,3,3,11,451,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.984024,-0.015976,0.998915,18.205175,0.412491,1,NONE
gain,calibration,3,3,12,452,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.009390,0.009390,0.999108,16.511194,0.383848,1,NONE
gain,calibration,3,3,13,453,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.993733,-0.006267,0.998952,17.776676,0.446814,1,NONE
gain,calibration,3,3,14,454,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.998152,-0.001848,0.999107,17.290083,0.307368,1,FIT_QUALITY
gain,calibration,3,3,15,455,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.978995,-0.021005,0.998998,18.890974,0.445430,1,NONE
gain,calibration,3,3,16,456,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.989129,-0.010871,0.999008,17.072630,0.507129,1,NONE
gain,calibration,3,3,17,457,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.006658,0.006658,0.999149,16.481295,0.434929,1,FIT_QUALITY
gain,calibration,3,3,18,458,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.998791,-0.001209,0.999072,17.078074,0.388709,1,NONE
gain,calibration,3,3,19,459,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.001722,0.001722,0.998856,19.351181,0.452402,1,NONE
gain,calibration,3,3,20,460,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.010000,0.010000,0.999062,18.057043,0.347307,1,NONE
gain,calibration,3,3,21,461,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.984929,-0.015071,0.998376,21.841579,0.416980,1,NONE
gain,calibration,3,3,22,462,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.985447,-0.014553,0.998849,19.007816,0.395823,1,NONE
gain,calibration,3,3,23,463,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.996312,-0.003688,0.999111,16.305021,0.428270,1,NONE
gain,calibration,3,3,24,464,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.005929,0.005929,0.999101,18.324408,0.394809,1,NONE
gain,calibration,3,3,25,465,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.982262,-0.017738,0.998957,17.381615,0.398560,1,NONE
gain,calibration,3,3,26,466,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.980081,-0.019919,0.998858,19.600382,0.432782,1,NONE
gain,calibration,3,3,27,467,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.014587,0.014587,0.999174,15.980841,0.429364,1,FIT_QUALITY
gain,calibration,3,3,28,468,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.004365,0.004365,0.999090,17.254379,0.381591,1,FIT_QUALITY
gain,calibration,3,3,29,469,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.001126,0.001126,0.998957,18.045452,0.380624,1,NONE
gain,calibration,3,3,30,470,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.997136,-0.002864,0.999051,19.025452,0.387114,1,NONE
gain,calibration,4,4,1,471,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.994442,-0.005558,0.999067,17.181379,0.328653,1,FIT_QUALITY
gain,calibration,4,4,2,472,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.969169,-0.030831,0.999021,16.930843,0.371176,1,NONE
gain,calibration,4,4,3,473,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.003198,0.003198,0.999099,16.575743,0.417313,1,NONE
gain,calibration,4,4,4,474,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.005237,0.005237,0.998978,17.770084,0.426154,1,NONE
gain,calibration,4,4,5,475,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.995643,-0.004357,0.999163,17.456465,0.379138,1,FIT_QUALITY
gain,calibration,4,4,6,476,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.997523,-0.002477,0.998928,21.777672,0.434706,1,NONE
gain,calibration,4,4,7,477,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.000710,0.000710,0.999250,18.765297,0.377399,1,NONE
gain,calibration,4,4,8,478,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.962698,-0.037302,0.998767,18.750898,0.428007,1,NONE
gain,calibration,4,4,9,479,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.007878,0.007878,0.999116,20.312860,0.375261,1,NONE
gain,calibration,4,4,10,480,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.005289,0.005289,0.999221,16.214169,0.395624,1,NONE
gain,calibration,4,4,11,481,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.005935,0.005935,0.999022,17.960140,0.431641,1,NONE
gain,calibration,4,4,12,482,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.992204,-0.007796,0.999212,17.142420,0.450767,1,NONE
gain,calibration,4,4,13,483,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.967657,-0.032343,0.998898,17.658026,0.416977,1,NONE
gain,calibration,4,4,14,484,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.984380,-0.015620,0.998993,17.120979,0.397787,1,NONE
gain,calibration,4,4,15,485,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.987178,-0.012822,0.998802,21.408333,0.400931,1,FIT_QUALITY
gain,calibration,4,4,16,486,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.003266,0.003266,0.999222,15.389928,0.358863,1,NONE
gain,calibration,4,4,17,487,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.983049,-0.016951,0.998772,18.877373,nan,0,POLARITY_IMBALANCE
gain,calibration,4,4,18,488,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.004181,0.004181,0.999004,17.751331,0.381427,1,NONE
gain,calibration,4,4,19,489,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.007121,0.007121,0.998890,18.382145,0.437417,1,NONE
gain,calibration,4,4,20,490,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.985268,-0.014732,0.998867,18.357510,0.394526,1,NONE
gain,calibration,4,4,21,491,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.993203,-0.006797,0.998705,20.286539,0.377704,1,NONE
gain,calibration,4,4,22,492,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.016809,0.016809,0.999270,15.745753,0.390195,1,NONE
gain,calibration,4,4,23,493,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.959267,-0.040733,0.998798,18.330463,0.428119,1,NONE
gain,calibration,4,4,24,494,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.999273,-0.000727,0.999043,16.936504,0.396555,1,NONE
gain,calibration,4,4,25,495,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,0.996689,-0.003311,0.999078,20.788990,0.393343,1,NONE
gain,calibration,4,4,26,496,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-9.430320,1.001701,nan,1.000000,1.002417,0.002417,0.999079,19.117712,0.354180,1,NONE
