stage,iteration,accepted_frames,rejected_frames,raw_batch_residual,filtered_batch_residual,correction_before,correction_after,correction_delta,residual_std,residual_min,residual_max,tolerance,pass_count,required_passes,status,sndr_db,enob_bits
offset,1,30,0,-3.265581,-3.265581,0.000000,1.142953,1.142953,5.042890,-11.394789,5.916461,1.000000,0,2,RUNNING,40.189827,6.383692,
offset,2,30,0,-3.586789,-3.394064,1.142953,2.330875,1.187922,6.081585,-14.334789,7.026461,1.000000,0,2,RUNNING,40.307011,6.403159,
offset,3,30,0,-1.242414,-2.533404,2.330875,3.217567,0.886691,6.906561,-15.237288,6.556461,1.000000,0,2,RUNNING,40.271801,6.397309,
offset,4,30,0,-0.940956,-1.896425,3.217567,3.881315,0.663749,7.287190,-15.812289,12.558961,1.000000,0,2,RUNNING,40.264854,6.396155,
offset,5,30,0,-0.178747,-1.209354,3.881315,4.304589,0.423274,5.420813,-11.576039,9.957711,1.000000,0,2,RUNNING,40.281757,6.398963,
offset,6,30,0,-0.567414,-0.952578,4.304589,4.637991,0.333402,5.462257,-14.026039,9.156461,1.000000,0,2,RUNNING,40.157871,6.378383,
offset,7,30,0,0.342378,-0.434596,4.637991,4.637991,0.000000,6.506986,-12.456038,10.690211,1.000000,1,2,PASS,40.192295,6.384101,
offset,8,30,0,0.942253,0.116144,4.637991,4.637991,0.000000,5.681495,-10.778539,14.601461,1.000000,2,2,PASS,40.232586,6.390794,
